seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,4684.555,0,0.000,0.000,0.000,0.000,0.000,1.421
L1_SingleMuOpen,4684.091,63000,0.040,0.034,0.040,0.034,0.040,1.421
L1_SingleMuCosmics_BMTF,310.050,0,0.000,0.000,0.000,0.000,0.000,1.465
L1_SingleMuCosmics_OMTF,365.616,0,0.000,0.000,0.000,0.000,0.000,1.467
L1_SingleMuCosmics_EMTF,4123.505,0,0.000,0.000,0.000,0.000,0.000,1.425
L1_SingleMu0_BMTF,310.050,0,0.000,0.000,0.000,0.000,0.000,1.465
L1_SingleMu0_OMTF,206.502,0,0.000,0.000,0.000,0.000,0.000,1.480
L1_SingleMu0_EMTF,2170.558,0,0.000,0.000,0.000,0.000,0.000,1.408
L1_SingleMu3,1601.469,22000,0.041,0.034,0.041,0.034,0.041,1.444
L1_SingleMu5,497.465,6600,0.042,0.034,0.042,0.034,0.042,1.474
L1_SingleMu7,199.261,2700,0.042,0.035,0.042,0.035,0.042,1.488
L1_SingleMu10_LowQ,93.883,1300,0.043,0.035,0.043,0.035,0.043,1.534
L1_SingleMu11_LowQ,73.279,0,0.000,0.000,0.000,0.000,0.000,1.539
L1_SingleMu12_LowQ_BMTF,9.528,0,0.000,0.000,0.000,0.000,0.000,1.468
L1_SingleMu12_LowQ_OMTF,13.142,0,0.000,0.000,0.000,0.000,0.000,1.505
L1_SingleMu12_LowQ_EMTF,39.558,0,0.000,0.000,0.000,0.000,0.000,1.577
L1_SingleMu16,21.210,0,0.000,0.000,0.000,0.000,0.000,1.546
L1_SingleMu18,15.931,210,0.044,0.035,0.000,0.000,0.024,1.557
L1_SingleMu20,12.991,0,0.000,0.000,0.000,0.000,0.000,1.559
L1_SingleMu22,10.414,0,0.000,0.000,0.000,0.000,0.000,1.563
L1_SingleMu22_BMTF,2.247,0,0.000,0.000,0.000,0.000,0.000,1.468
L1_SingleMu22_OMTF,3.237,0,0.000,0.000,0.000,0.000,0.000,1.543
L1_SingleMu22_EMTF,4.902,0,0.000,0.000,0.000,0.000,0.000,1.616
L1_SingleMu25,8.494,1,8.494,0.491,1.868,0.230,4.496,1.569
L1_SingleMu30,5.401,1,5.401,0.391,0.000,0.000,2.250,1.575
L1_SingleMu14er2p1,25.249,0,0.000,0.000,0.000,0.000,0.000,1.517
L1_SingleMu16er2p1,18.104,0,0.000,0.000,0.000,0.000,0.000,1.524
L1_SingleMu18er2p1,13.474,0,0.000,0.000,0.000,0.000,0.000,1.533
L1_SingleMu20er2p1,10.895,0,0.000,0.000,0.000,0.000,0.000,1.537
L1_SingleMu22er2p1,8.712,0,0.000,0.000,0.000,0.000,0.000,1.544
L1_DoubleMu0,393.514,0,0.000,0.000,0.000,0.000,0.000,1.937
L1_DoubleMu_11_4,5.672,0,0.000,0.000,0.000,0.000,0.000,1.836
L1_DoubleMu_12_5,3.435,0,0.000,0.000,0.000,0.000,0.000,1.782
L1_DoubleMu_12_8,1.089,0,0.000,0.000,0.000,0.000,0.000,1.671
L1_DoubleMu_13_6,2.176,0,0.000,0.000,0.000,0.000,0.000,1.744
L1_DoubleMu_15_5,2.129,0,0.000,0.000,0.000,0.000,0.000,1.788
L1_DoubleMu_15_7,1.117,1,1.117,0.178,0.194,0.074,0.371,1.713
L1_DoubleMu18er2p1,0.085,1,0.085,0.049,0.000,0.000,0.015,1.493
L1_DoubleMu22er2p1,0.083,1,0.083,0.048,0.000,0.000,0.014,1.463
L1_TripleMu0,28.160,0,0.000,0.000,0.000,0.000,0.000,2.496
L1_TripleMu3,4.172,0,0.000,0.000,0.000,0.000,0.000,2.373
L1_TripleMu_4_4_4,1.053,1,1.053,0.173,0.062,0.042,0.300,2.184
L1_TripleMu_5_0_0,10.038,0,0.000,0.000,0.000,0.000,0.000,2.511
L1_TripleMu_5_3_3,2.475,1,2.475,0.265,0.000,0.000,0.713,2.360
L1_TripleMu_5_5_3,1.340,1,1.340,0.195,0.000,0.000,0.281,2.252
L1_QuadMu0,2.094,0,0.000,0.000,0.000,0.000,0.000,3.211
L1_SingleEG5,16258.278,220000,0.045,0.036,0.045,0.036,0.045,1.591
L1_SingleEG10,2811.061,38000,0.048,0.037,0.048,0.037,0.048,1.680
L1_SingleEG15,662.550,9000,0.048,0.037,0.048,0.037,0.048,1.694
L1_SingleEG18,232.595,0,0.000,0.000,0.000,0.000,0.000,1.833
L1_SingleEG24,74.761,0,0.000,0.000,0.000,0.000,0.000,1.751
L1_SingleEG26,58.263,780,0.050,0.038,0.000,0.000,0.021,1.758
L1_SingleEG28,44.172,0,0.000,0.000,0.000,0.000,0.000,1.757
L1_SingleEG30,34.794,0,0.000,0.000,0.000,0.000,0.000,1.761
L1_SingleEG32,26.600,0,0.000,0.000,0.000,0.000,0.000,1.757
L1_SingleEG34,22.141,0,0.000,0.000,0.000,0.000,0.000,1.763
L1_SingleEG36,17.541,0,0.000,0.000,0.000,0.000,0.000,1.743
L1_SingleEG38,14.909,0,0.000,0.000,0.000,0.000,0.000,1.747
L1_SingleEG40,12.872,0,0.000,0.000,0.000,0.000,0.000,1.753
L1_SingleEG42,10.500,1,10.500,0.546,0.597,0.130,1.560,1.755
L1_SingleEG45,8.592,1,8.592,0.494,0.000,0.000,0.776,1.762
L1_SingleEG50,6.059,1,6.059,0.414,0.000,0.000,0.339,1.766
L1_SingleEG34er2p1,15.684,0,0.000,0.000,0.000,0.000,0.000,1.762
L1_SingleEG36er2p1,12.412,0,0.000,0.000,0.000,0.000,0.000,1.751
L1_SingleEG38er2p1,10.459,0,0.000,0.000,0.000,0.000,0.000,1.740
L1_SingleIsoEG18,31.083,0,0.000,0.000,0.000,0.000,0.000,1.253
L1_SingleIsoEG20,25.454,0,0.000,0.000,0.000,0.000,0.000,1.358
L1_SingleIsoEG22,22.096,0,0.000,0.000,0.000,0.000,0.000,1.430
L1_SingleIsoEG24,20.527,0,0.000,0.000,0.000,0.000,0.000,1.531
L1_SingleIsoEG26,19.466,0,0.000,0.000,0.000,0.000,0.000,1.604
