L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,28,2778.29,742.53,2381.39,2520.31
4,L1_SingleMu7,7,4961.24,992.247,3770.54,4159.02
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,1,2182.94,658.182,0,482.12
8,L1_SingleMu18,1,1190.7,486.1,0,192.865
9,L1_SingleMu20,1,992.247,443.746,0,143.253
10,L1_SingleMu22,1,992.247,443.746,0,143.253
11,L1_SingleMu25,1,595.348,343.724,0,60.5657
12,L1_SingleMu30,1,595.348,343.724,0,60.5657
13,L1_SingleMu14er2p1,2,1389.15,525.048,198.449,501.879
14,L1_SingleMu16er2p1,1,1587.6,561.3,0,371.083
15,L1_SingleMu18er2p1,1,595.348,343.724,0,81.8282
16,L1_SingleMu20er2p1,1,396.899,280.65,0,32.2158
17,L1_SingleMu22er2p1,1,396.899,280.65,0,32.2158
20,L1_DoubleMu0,600,0,0,0,0
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,396.899,280.65,0,117.266
23,L1_DoubleMu_12_8,1,198.449,198.449,0,18.0409
24,L1_DoubleMu_13_6,1,198.449,198.449,0,18.0409
25,L1_DoubleMu_15_5,1,198.449,198.449,0,18.0409
26,L1_DoubleMu_15_7,1,198.449,198.449,0,18.0409
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,198.449,198.449,0,28.3499
30,L1_TripleMu_5_0_0,1,595.348,343.724,198.449,396.899
31,L1_TripleMu_5_3_3,1,198.449,198.449,0,99.2247
32,L1_TripleMu_5_5_3,1,0,0,0,0
33,L1_QuadMu0,1,0,0,0,0
40,L1_SingleEG5,2668,992.247,443.746,992.247,992.247
41,L1_SingleEG10,108,4167.44,909.409,4167.44,4167.44
42,L1_SingleEG15,50,2182.94,658.182,1984.49,1990.16
43,L1_SingleEG18,10,3572.09,841.95,1786.04,2203.14
44,L1_SingleEG24,5,2182.94,658.182,396.899,682.73
45,L1_SingleEG26,1,9327.12,1360.5,595.348,1789.14
46,L1_SingleEG28,1,7342.63,1207.12,0,864.445
47,L1_SingleEG30,1,6548.83,1140.01,0,588.821
48,L1_SingleEG32,1,5159.68,1011.9,0,284.532
49,L1_SingleEG34,1,4365.89,930.81,0,174.598
50,L1_SingleEG36,1,4167.44,909.409,0,167.754
51,L1_SingleEG38,1,3373.64,818.228,0,117.712
52,L1_SingleEG40,1,2778.29,742.53,0,68.4144
53,L1_SingleEG45,1,1587.6,561.3,0,27.4044
54,L1_SingleEG34er2p1,1,3968.99,887.493,0,133.845
55,L1_SingleEG36er2p1,1,3770.54,865.021,0,127.001
56,L1_SingleEG38er2p1,1,3175.19,793.798,0,89.3618
57,L1_SingleIsoEG18,2,3968.99,887.493,198.449,726.439
58,L1_SingleIsoEG20,1,6945.73,1174.04,0,820.861
59,L1_SingleIsoEG22,1,6151.93,1104.92,0,457.038
60,L1_SingleIsoEG24,1,5159.68,1011.9,0,260.006
61,L1_SingleIsoEG26,1,4564.34,951.73,0,178.5
62,L1_SingleIsoEG28,1,3968.99,887.493,0,120.368
63,L1_SingleIsoEG30,1,3770.54,865.021,0,109.343
64,L1_SingleIsoEG32,1,3572.09,841.95,0,96.113
65,L1_SingleIsoEG34,1,3373.64,818.228,0,86.1906
66,L1_SingleIsoEG36,1,3175.19,793.798,0,79.3475
67,L1_SingleIsoEG38,1,2778.29,742.53,0,59.5944
68,L1_SingleIsoEG18er2p1,2,3968.99,887.493,0,617.492
69,L1_SingleIsoEG20er2p1,1,6747.28,1157.15,0,808.458
70,L1_SingleIsoEG22er2p1,1,5953.48,1086.95,0,444.634
71,L1_SingleIsoEG24er2p1,1,4961.24,992.247,0,247.603
72,L1_SingleIsoEG26er2p1,1,4365.89,930.81,0,166.097
73,L1_SingleIsoEG28er2p1,1,3770.54,865.021,0,107.965
74,L1_SingleIsoEG30er2p1,1,3572.09,841.95,0,96.9399
75,L1_SingleIsoEG32er2p1,1,3373.64,818.228,0,83.7099
76,L1_SingleIsoEG34er2p1,1,3175.19,793.798,0,73.7875
77,L1_SingleIsoEG36er2p1,1,2976.74,768.591,0,66.9444
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
