L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,0,0,0,0,0
2,L1_SingleMu3,0,0,0,0,0
3,L1_SingleMu5,28,2637.29,680.946,2109.83,2228.38
4,L1_SingleMu7,7,4395.49,879.097,4043.85,4219.67
5,L1_SingleMu10_LowQ,0,0,0,0,0
6,L1_SingleMu11_LowQ,0,0,0,0,0
7,L1_SingleMu16,1,3692.21,805.706,0,603.59
8,L1_SingleMu18,1,3340.57,766.379,0,457.074
9,L1_SingleMu20,1,2461.47,657.856,0,254.881
10,L1_SingleMu22,1,2109.83,609.057,0,200.461
11,L1_SingleMu25,1,1934.01,583.127,0,178.483
12,L1_SingleMu30,1,527.458,304.528,0,48.2172
13,L1_SingleMu14er2p1,2,2109.83,609.057,175.819,432.166
14,L1_SingleMu16er2p1,1,3692.21,805.706,0,603.59
15,L1_SingleMu18er2p1,1,3340.57,766.379,0,457.074
16,L1_SingleMu20er2p1,1,2461.47,657.856,0,254.881
17,L1_SingleMu22er2p1,1,2109.83,609.057,0,200.461
20,L1_DoubleMu0,0,0,0,0,0
21,L1_DoubleMu_11_4,0,0,0,0,0
22,L1_DoubleMu_12_5,0,0,0,0,0
23,L1_DoubleMu_12_8,0,0,0,0,0
24,L1_DoubleMu_13_6,0,0,0,0,0
25,L1_DoubleMu_15_5,0,0,0,0,0
26,L1_DoubleMu_15_7,0,0,0,0,0
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,0,0,0,0,0
30,L1_TripleMu_5_0_0,0,0,0,0,0
31,L1_TripleMu_5_3_3,0,0,0,0,0
32,L1_TripleMu_5_5_3,0,0,0,0,0
33,L1_QuadMu0,0,0,0,0,0
40,L1_SingleEG5,2668,879.097,393.144,879.097,879.097
41,L1_SingleEG10,108,4219.67,861.336,4219.67,4219.67
42,L1_SingleEG15,0,0,0,0,0
43,L1_SingleEG18,10,3868.03,824.666,2461.47,2770.49
44,L1_SingleEG24,5,3164.75,745.939,527.458,907.874
45,L1_SingleEG26,1,12131.5,1460.47,1582.38,3285.47
46,L1_SingleEG28,1,8615.15,1230.74,0,1327.3
47,L1_SingleEG30,1,7736.06,1166.25,0,962.138
48,L1_SingleEG32,1,5977.86,1025.19,0,521.368
49,L1_SingleEG34,1,4922.95,930.349,0,318.713
50,L1_SingleEG36,1,3868.03,824.666,0,206.514
51,L1_SingleEG38,1,3340.57,766.379,0,166.053
52,L1_SingleEG40,1,2461.47,657.856,0,109.956
53,L1_SingleEG45,1,1934.01,583.127,0,80.8416
54,L1_SingleEG34er2p1,1,3516.39,786.289,0,198.107
55,L1_SingleEG36er2p1,1,2637.29,680.946,0,121.072
56,L1_SingleEG38er2p1,1,2285.65,633.926,0,92.3326
57,L1_SingleIsoEG18,2,4219.67,861.336,351.639,1052.4
58,L1_SingleIsoEG20,1,7384.42,1139.44,0,789.809
59,L1_SingleIsoEG22,1,6505.32,1069.47,0,467.473
60,L1_SingleIsoEG24,1,6505.32,1069.47,0,467.473
61,L1_SingleIsoEG26,1,5802.04,1010.01,0,358.842
62,L1_SingleIsoEG28,1,4395.49,879.097,0,188.173
63,L1_SingleIsoEG30,1,4219.67,861.336,0,174.648
64,L1_SingleIsoEG32,1,3692.21,805.706,0,144.124
65,L1_SingleIsoEG34,1,3516.39,786.289,0,134.87
66,L1_SingleIsoEG36,1,2988.93,724.922,0,112.256
67,L1_SingleIsoEG38,1,2637.29,680.946,0,93.7721
68,L1_SingleIsoEG18er2p1,2,3340.57,766.379,175.819,555.669
69,L1_SingleIsoEG20er2p1,1,5802.04,1010.01,0,545.152
70,L1_SingleIsoEG22er2p1,1,5098.76,946.817,0,310.726
71,L1_SingleIsoEG24er2p1,1,5098.76,946.817,0,310.726
72,L1_SingleIsoEG26er2p1,1,4571.31,896.507,0,246.05
73,L1_SingleIsoEG28er2p1,1,3516.39,786.289,0,139.848
74,L1_SingleIsoEG30er2p1,1,3340.57,766.379,0,126.323
75,L1_SingleIsoEG32er2p1,1,2813.11,703.278,0,95.7991
76,L1_SingleIsoEG34er2p1,1,2637.29,680.946,0,86.5455
77,L1_SingleIsoEG36er2p1,1,2109.83,609.057,0,63.931
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,0,0,0,0,0
87,L1_DoubleEG_24_17,0,0,0,0,0
88,L1_DoubleEG_25_12,0,0,0,0,0
89,L1_DoubleEG_25_13,0,0,0,0,0
90,L1_DoubleEG_25_14,0,0,0,0,0
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,0,0,0,0,0
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,0,0,0,0,0
102,L1_SingleTau100er2p1,0,0,0,0,0
103,L1_SingleTau120er2p1,0,0,0,0,0
104,L1_DoubleTau50er2p1,0,0,0,0,0
105,L1_DoubleTau70er2p1,0,0,0,0,0
106,L1_DoubleIsoTau28er2p1,0,0,0,0,0
