L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,0,0,0,0,0
2,L1_SingleMu3,0,0,0,0,0
3,L1_SingleMu5,28,2778.29,742.53,2381.39,2520.31
4,L1_SingleMu7,7,4961.24,992.247,3968.99,4312.97
5,L1_SingleMu10_LowQ,0,0,0,0,0
6,L1_SingleMu11_LowQ,0,0,0,0,0
7,L1_SingleMu16,1,2182.94,658.182,0,545.435
8,L1_SingleMu18,1,1190.7,486.1,0,208.071
9,L1_SingleMu20,1,992.247,443.746,0,158.459
10,L1_SingleMu22,1,992.247,443.746,0,158.459
11,L1_SingleMu25,1,595.348,343.724,0,69.1566
12,L1_SingleMu30,1,595.348,343.724,0,69.1566
13,L1_SingleMu14er2p1,2,1389.15,525.048,198.449,505.745
14,L1_SingleMu16er2p1,1,1587.6,561.3,0,423.058
15,L1_SingleMu18er2p1,1,595.348,343.724,0,85.6941
16,L1_SingleMu20er2p1,1,396.899,280.65,0,36.0817
17,L1_SingleMu22er2p1,1,396.899,280.65,0,36.0817
20,L1_DoubleMu0,0,0,0,0,0
21,L1_DoubleMu_11_4,0,0,0,0,0
22,L1_DoubleMu_12_5,0,0,0,0,0
23,L1_DoubleMu_12_8,0,0,0,0,0
24,L1_DoubleMu_13_6,0,0,0,0,0
25,L1_DoubleMu_15_5,0,0,0,0,0
26,L1_DoubleMu_15_7,0,0,0,0,0
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,0,0,0,0,0
30,L1_TripleMu_5_0_0,0,0,0,0,0
31,L1_TripleMu_5_3_3,0,0,0,0,0
32,L1_TripleMu_5_5_3,0,0,0,0,0
33,L1_QuadMu0,0,0,0,0,0
40,L1_SingleEG5,2668,992.247,443.746,992.247,992.247
41,L1_SingleEG10,108,4167.44,909.409,4167.44,4167.44
42,L1_SingleEG15,0,0,0,0,0
43,L1_SingleEG18,10,3572.09,841.95,1984.49,2340.22
44,L1_SingleEG24,5,2182.94,658.182,396.899,764.707
45,L1_SingleEG26,1,9327.12,1360.5,992.247,2294.84
46,L1_SingleEG28,1,7342.63,1207.12,0,1046.01
47,L1_SingleEG30,1,6548.83,1140.01,0,731.803
48,L1_SingleEG32,1,5159.68,1011.9,0,371.286
49,L1_SingleEG34,1,4365.89,930.81,0,222.449
50,L1_SingleEG36,1,4167.44,909.409,0,214.181
51,L1_SingleEG38,1,3373.64,818.228,0,144.815
52,L1_SingleEG40,1,2778.29,742.53,0,90.0053
53,L1_SingleEG45,1,1587.6,561.3,0,42.448
54,L1_SingleEG34er2p1,1,3968.99,887.493,0,181.696
55,L1_SingleEG36er2p1,1,3770.54,865.021,0,173.428
56,L1_SingleEG38er2p1,1,3175.19,793.798,0,116.465
57,L1_SingleIsoEG18,2,3968.99,887.493,198.449,756.962
58,L1_SingleIsoEG20,1,6945.73,1174.04,0,863.172
59,L1_SingleIsoEG22,1,6151.93,1104.92,0,499.348
60,L1_SingleIsoEG24,1,5159.68,1011.9,0,290.976
61,L1_SingleIsoEG26,1,4564.34,951.73,0,205.926
62,L1_SingleIsoEG28,1,3968.99,887.493,0,147.795
63,L1_SingleIsoEG30,1,3770.54,865.021,0,131.257
64,L1_SingleIsoEG32,1,3572.09,841.95,0,118.027
65,L1_SingleIsoEG34,1,3373.64,818.228,0,108.105
66,L1_SingleIsoEG36,1,3175.19,793.798,0,99.8359
67,L1_SingleIsoEG38,1,2778.29,742.53,0,80.0828
68,L1_SingleIsoEG18er2p1,2,3968.99,887.493,0,629.716
69,L1_SingleIsoEG20er2p1,1,6747.28,1157.15,0,850.769
70,L1_SingleIsoEG22er2p1,1,5953.48,1086.95,0,486.945
71,L1_SingleIsoEG24er2p1,1,4961.24,992.247,0,278.573
72,L1_SingleIsoEG26er2p1,1,4365.89,930.81,0,193.523
73,L1_SingleIsoEG28er2p1,1,3770.54,865.021,0,135.391
74,L1_SingleIsoEG30er2p1,1,3572.09,841.95,0,118.854
75,L1_SingleIsoEG32er2p1,1,3373.64,818.228,0,105.624
76,L1_SingleIsoEG34er2p1,1,3175.19,793.798,0,95.7015
77,L1_SingleIsoEG36er2p1,1,2976.74,768.591,0,87.4328
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,0,0,0,0,0
87,L1_DoubleEG_24_17,0,0,0,0,0
88,L1_DoubleEG_25_12,0,0,0,0,0
89,L1_DoubleEG_25_13,0,0,0,0,0
90,L1_DoubleEG_25_14,0,0,0,0,0
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,0,0,0,0,0
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,0,0,0,0,0
102,L1_SingleTau100er2p1,0,0,0,0,0
103,L1_SingleTau120er2p1,0,0,0,0,0
104,L1_DoubleTau50er2p1,0,0,0,0,0
105,L1_DoubleTau70er2p1,0,0,0,0,0
106,L1_DoubleIsoTau28er2p1,0,0,0,0,0
