L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,0,0,0,0,0
2,L1_SingleMu3,0,0,0,0,0
3,L1_SingleMu5,0,0,0,0,0
4,L1_SingleMu7,300,158.986,112.42,158.986,158.986
5,L1_SingleMu10_LowQ,860,0,0,0,0
6,L1_SingleMu11_LowQ,700,0,0,0,0
7,L1_SingleMu16,0,0,0,0,0
8,L1_SingleMu18,300,0,0,0,0
9,L1_SingleMu20,0,0,0,0,0
10,L1_SingleMu22,0,0,0,0,0
11,L1_SingleMu25,1,2464.28,442.598,79.4929,891.078
12,L1_SingleMu30,1,1669.35,364.282,0,490.963
13,L1_SingleMu14er2p1,0,0,0,0,0
14,L1_SingleMu16er2p1,0,0,0,0,0
15,L1_SingleMu18er2p1,0,0,0,0,0
16,L1_SingleMu20er2p1,0,0,0,0,0
17,L1_SingleMu22er2p1,1,2941.24,483.536,397.465,1201.1
20,L1_DoubleMu0,0,0,0,0,0
21,L1_DoubleMu_11_4,40,0,0,0,0
22,L1_DoubleMu_12_5,0,0,0,0,0
23,L1_DoubleMu_12_8,1,238.479,137.686,0,36.374
24,L1_DoubleMu_13_6,0,0,0,0,0
25,L1_DoubleMu_15_5,1,476.957,194.717,158.986,206.35
26,L1_DoubleMu_15_7,1,238.479,137.686,0,34.1157
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,317.972,158.986,79.4929,115.691
30,L1_TripleMu_5_0_0,0,0,0,0,0
31,L1_TripleMu_5_3_3,1,874.422,263.648,0,275.433
32,L1_TripleMu_5_5_3,1,238.479,137.686,0,36.1977
33,L1_QuadMu0,1,476.957,194.717,238.479,357.718
40,L1_SingleEG5,0,0,0,0,0
41,L1_SingleEG10,0,0,0,0,0
42,L1_SingleEG15,0,0,0,0,0
43,L1_SingleEG18,0,0,0,0,0
44,L1_SingleEG24,0,0,0,0,0
45,L1_SingleEG26,800,0,0,0,0
46,L1_SingleEG28,0,0,0,0,0
47,L1_SingleEG30,0,0,0,0,0
48,L1_SingleEG32,0,0,0,0,0
49,L1_SingleEG34,0,0,0,0,0
50,L1_SingleEG36,0,0,0,0,0
51,L1_SingleEG38,0,0,0,0,0
52,L1_SingleEG40,1,5405.52,655.515,715.436,1467.73
53,L1_SingleEG45,1,3736.17,544.976,0,515.143
54,L1_SingleEG34er2p1,0,0,0,0,0
55,L1_SingleEG36er2p1,0,0,0,0,0
56,L1_SingleEG38er2p1,0,0,0,0,0
57,L1_SingleIsoEG18,0,0,0,0,0
58,L1_SingleIsoEG20,0,0,0,0,0
59,L1_SingleIsoEG22,0,0,0,0,0
60,L1_SingleIsoEG24,0,0,0,0,0
61,L1_SingleIsoEG26,0,0,0,0,0
62,L1_SingleIsoEG28,0,0,0,0,0
63,L1_SingleIsoEG30,0,0,0,0,0
64,L1_SingleIsoEG32,0,0,0,0,0
65,L1_SingleIsoEG34,0,0,0,0,0
66,L1_SingleIsoEG36,0,0,0,0,0
67,L1_SingleIsoEG38,1,5167.04,640.892,79.4929,933.805
68,L1_SingleIsoEG18er2p1,0,0,0,0,0
69,L1_SingleIsoEG20er2p1,0,0,0,0,0
70,L1_SingleIsoEG22er2p1,0,0,0,0,0
71,L1_SingleIsoEG24er2p1,0,0,0,0,0
72,L1_SingleIsoEG26er2p1,0,0,0,0,0
73,L1_SingleIsoEG28er2p1,400,0,0,0,0
74,L1_SingleIsoEG30er2p1,400,0,0,0,0
75,L1_SingleIsoEG32er2p1,0,0,0,0,0
76,L1_SingleIsoEG34er2p1,0,0,0,0,0
77,L1_SingleIsoEG36er2p1,1,5008.05,630.955,0,872.045
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,0,0,0,0,0
87,L1_DoubleEG_24_17,1,874.422,263.648,0,214.803
88,L1_DoubleEG_25_12,0,0,0,0,0
89,L1_DoubleEG_25_13,0,0,0,0,0
90,L1_DoubleEG_25_14,1,1589.86,355.503,397.465,679.269
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,1,476.957,194.717,79.4929,146.632
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,0,0,0,0,0
102,L1_SingleTau100er2p1,0,0,0,0,0
103,L1_SingleTau120er2p1,1,1510.37,346.502,79.4929,195.548
104,L1_DoubleTau50er2p1,0,0,0,0,0
105,L1_DoubleTau70er2p1,1,953.915,275.372,0,65.6207
106,L1_DoubleIsoTau28er2p1,0,0,0,0,0
107,L1_DoubleIsoTau30er2p1,0,0,0,0,0
108,L1_DoubleIsoTau32er2p1,1,3656.67,539.147,0,574.941
109,L1_DoubleIsoTau33er2p1,1,3577.18,533.255,0,561.692
110,L1_DoubleIsoTau34er2p1,1,3338.7,515.173,0,442.452
111,L1_DoubleIsoTau35er2p1,1,3100.22,496.433,0,381.508
112,L1_DoubleIsoTau36er2p1,1,3020.73,490.027,0,361.635
113,L1_DoubleIsoTau38er2p1,1,2623.27,456.652,0,297.378
