#============================================================================#          
#-------------------------------     Menu     -------------------------------#          
#============================================================================#          
# L1Seed                                                     Bit  Prescale POG    PAG 
L1_SingleMuCosmics                                             0         0              
L1_SingleMuOpen                                                1         0              
L1_SingleMu3                                                   2         0              
L1_SingleMu5                                                   3         0              
L1_SingleMu7                                                   4         300              
L1_SingleMu10_LowQ                                             5         860              
L1_SingleMu11_LowQ                                             6         700              
L1_SingleMu16                                                  7         0              
L1_SingleMu18                                                  8         300              
L1_SingleMu20                                                  9         0              
L1_SingleMu22                                                 10         0              
L1_SingleMu25                                                 11         1              
L1_SingleMu30                                                 12         1              
L1_SingleMu14er2p1                                            13         0              
L1_SingleMu16er2p1                                            14         0              
L1_SingleMu18er2p1                                            15         0              
L1_SingleMu20er2p1                                            16         0              
L1_SingleMu22er2p1                                            17         1              
L1_DoubleMu0                                                  20         0              
L1_DoubleMu_11_4                                              21         40              
L1_DoubleMu_12_5                                              22         0              
L1_DoubleMu_12_8                                              23         1              
L1_DoubleMu_13_6                                              24         0              
L1_DoubleMu_15_5                                              25         1              
L1_DoubleMu_15_7                                              26         1              
L1_TripleMu0                                                  27         0              
L1_TripleMu3                                                  28         0              
L1_TripleMu_4_4_4                                             29         1              
L1_TripleMu_5_0_0                                             30         0              
L1_TripleMu_5_3_3                                             31         1              
L1_TripleMu_5_5_3                                             32         1              
L1_QuadMu0                                                    33         1              
L1_SingleEG5                                                  40         0              
L1_SingleEG10                                                 41         0              
L1_SingleEG15                                                 42         0              
L1_SingleEG18                                                 43         0              
L1_SingleEG24                                                 44         0              
L1_SingleEG26                                                 45         800              
L1_SingleEG28                                                 46         0              
L1_SingleEG30                                                 47         0              
L1_SingleEG32                                                 48         0              
L1_SingleEG34                                                 49         0              
L1_SingleEG36                                                 50         0              
L1_SingleEG38                                                 51         0              
L1_SingleEG40                                                 52         1              
L1_SingleEG45                                                 53         1              
L1_SingleEG34er2p1                                            54         0              
L1_SingleEG36er2p1                                            55         0              
L1_SingleEG38er2p1                                            56         0              
L1_SingleIsoEG18                                              57         0              
L1_SingleIsoEG20                                              58         0              
L1_SingleIsoEG22                                              59         0              
L1_SingleIsoEG24                                              60         0              
L1_SingleIsoEG26                                              61         0              
L1_SingleIsoEG28                                              62         0              
L1_SingleIsoEG30                                              63         0              
L1_SingleIsoEG32                                              64         0              
L1_SingleIsoEG34                                              65         0              
