id,name,proposed name,2,1.8,1.6,1.4,1.2,1,0.75,0.5,0.25,xml,POG,PAG,comment
0,L1_SingleMuCosmics,,0,0,0,0,0,0,0,0,0,x,MU,BASE,Cosmics:
1,L1_SingleMuOpen,,63000,57000,51000,45000,38000,33000,25000,17000,8500,x,MU,BASE,Cosmics:
2,L1_SingleMuCosmics_BMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
3,L1_SingleMuCosmics_OMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
4,L1_SingleMuCosmics_EMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
5,L1_SingleMu0_BMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
6,L1_SingleMu0_OMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
7,L1_SingleMu0_EMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
8,L1_SingleMu3,,22000,20000,17000,15000,13000,11000,8300,5500,2800,x,MU,BASE,Cosmics:
9,L1_SingleMu5,,6600,6000,5300,4500,3900,3300,2500,1600,800,x,MU,BASE,Cosmics:
10,L1_SingleMu7,,2700,2400,2100,1800,1600,1300,970,640,320,x,MU,BASE,Cosmics:
11,L1_SingleMu10_LowQ,,1300,1100,980,820,700,580,430,280,140,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
12,L1_SingleMu11_LowQ,,0,0,0,0,0,0,0,0,0,x,MU,BASE,Muon HLT/POG: https://its.cern.ch/jira/browse/CMSLITDPG-67
13,L1_SingleMu12_LowQ_BMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
14,L1_SingleMu12_LowQ_OMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
15,L1_SingleMu12_LowQ_EMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
16,L1_SingleMu16,,0,0,0,0,0,1,1,1,1,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
17,L1_SingleMu18,,210,190,170,140,115,1,1,1,1,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
18,L1_SingleMu20,,0,0,0,1,1,1,1,1,1,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
19,L1_SingleMu22,,0,1,1,1,1,1,1,1,1,x,MU,BASE,slim:
20,L1_SingleMu22_BMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
21,L1_SingleMu22_OMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
22,L1_SingleMu22_EMTF,,0,0,0,0,0,0,0,0,0,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-113
23,L1_SingleMu25,,1,1,1,1,1,1,1,1,1,x,MU,BASE,slim:
24,L1_SingleMu30,,1,1,1,1,1,1,1,1,1,x,MU,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
25,L1_SingleMu14er2p1,L1_SingleMu14er,0,0,0,0,0,0,1,1,1,x,MU,BASE,Cosmics:
26,L1_SingleMu16er2p1,L1_SingleMu16er,0,0,0,0,0,1,1,1,1,x,MU,BASE,Cosmics:
27,L1_SingleMu18er2p1,L1_SingleMu18er,0,0,0,1,1,1,1,1,1,x,MU,BASE,Cosmics:
28,L1_SingleMu20er2p1,L1_SingleMu20er,0,0,1,1,1,1,1,1,1,x,MU,BASE,slim: * missing in L1Menu_Collisions2017_dev.xml
29,L1_SingleMu22er2p1,L1_SingleMu22er,0,1,1,1,1,1,1,1,1,x,MU,BASE,slim:
30,L1_DoubleMu0,,0,0,0,0,0,0,0,0,0,x,MU,BASE,Cosmics/Circulating:
31,L1_DoubleMu_11_4,,0,0,0,1,1,1,1,1,1,x,MU,BASE,Cosmics:
32,L1_DoubleMu_12_5,,0,0,1,1,1,1,1,1,1,x,MU,BASE,slim:
33,L1_DoubleMu_12_8,,0,0,1,1,1,1,1,1,1,x,MU,BASE,
34,L1_DoubleMu_13_6,,0,0,1,1,1,1,1,1,1,x,MU,BASE,slim:
35,L1_DoubleMu_15_5,,0,0,1,1,1,1,1,1,1,x,MU,BASE,
36,L1_DoubleMu_15_7,,1,1,1,1,1,1,1,1,1,x,MU,BASE,Susy:
37,L1_DoubleMu18er2p1,,1,1,1,1,1,1,1,1,1,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-116
38,L1_DoubleMu22er2p1,,1,1,1,1,1,1,1,1,1,x,MU,BASE,https://its.cern.ch/jira/browse/CMSLITDPG-116
39,L1_TripleMu0,,0,0,0,0,0,0,1,1,1,x,MU,BASE,Circulating:
40,L1_TripleMu3,,0,0,0,1,1,1,1,1,1,x,MU,BASE,Susy:
41,L1_TripleMu_4_4_4,,1,1,1,1,1,1,1,1,1,x,MU,BASE,Susy:
42,L1_TripleMu_5_0_0,,0,0,0,0,1,1,1,1,1,x,MU,BASE,slim:
43,L1_TripleMu_5_3_3,,1,1,1,1,1,1,1,1,1,x,MU,BASE,Susy:
44,L1_TripleMu_5_5_3,,1,1,1,1,1,1,1,1,1,x,MU,BASE,slim:
45,L1_QuadMu0,,0,0,0,0,0,0,0,0,0,x,MU,BASE,Circulating:
50,L1_SingleEG5,,220000,190000,163000,140000,116000,98000,75000,50000,25000,x,EG,BASE,Cosmics:
51,L1_SingleEG10,,38000,32000,27000,23000,19000,16000,12000,7900,3900,x,EG,BASE,Cosmics:
52,L1_SingleEG15,,9000,7600,6400,5300,4400,3700,2700,1800,900,x,EG,BASE,HLT: /cdaq/physics/Run2016/25ns15e33/v4.2.3/HLT/V2
53,L1_SingleEG18,,0,0,0,0,0,0,0,0,0,x,EG,BASE,Cosmics:
54,L1_SingleEG24,,0,0,0,0,0,0,0,1,1,x,EG,BASE,Cosmics:
