seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,3585.723,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuOpen,3585.563,63000,0.053,0.019,0.047,0.018,0.048,1.000
L1_SingleMuCosmics_BMTF,232.904,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuCosmics_OMTF,280.768,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuCosmics_EMTF,3162.887,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_BMTF,232.904,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_OMTF,153.680,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_EMTF,1849.520,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu3,1280.617,22000,0.053,0.019,0.053,0.019,0.053,1.000
L1_SingleMu5,385.896,1700,0.221,0.038,0.207,0.037,0.209,1.000
L1_SingleMu7,153.981,670,0.227,0.039,0.207,0.037,0.211,1.000
L1_SingleMu10_LowQ,68.548,1300,0.047,0.018,0.033,0.015,0.037,1.000
L1_SingleMu11_LowQ,52.337,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_BMTF,7.267,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_OMTF,9.352,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_EMTF,27.522,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu16,15.904,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu18,11.986,210,0.053,0.019,0.007,0.007,0.022,1.000
L1_SingleMu20,9.386,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22,7.601,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_BMTF,1.691,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_OMTF,2.313,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_EMTF,3.623,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu25,6.264,1,6.264,0.205,1.003,0.082,3.026,1.000
L1_SingleMu30,4.573,1,4.573,0.175,0.000,0.000,1.820,1.000
L1_SingleMu14er2p1,18.344,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu16er2p1,13.410,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu18er2p1,10.054,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu20er2p1,7.755,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22er2p1,6.270,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu0,305.162,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_11_4,3.804,0,0.000,0.000,0.000,0.000,0.000,1.000
