L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,50000,48.4206,34.2386,48.4206,48.4206
2,L1_SingleMu3,16000,72.631,41.9335,72.631,72.631
3,L1_SingleMu5,3600,96.8413,48.4206,96.8413,96.8413
4,L1_SingleMu7,1500,72.631,41.9335,48.4206,50.6216
5,L1_SingleMu10_LowQ,600,96.8413,48.4206,96.8413,96.8413
6,L1_SingleMu11_LowQ,500,96.8413,48.4206,96.8413,96.8413
7,L1_SingleMu16,150,96.8413,48.4206,0,19.8294
8,L1_SingleMu18,120,96.8413,48.4206,0,13.1917
9,L1_SingleMu20,90,96.8413,48.4206,0,13.6793
10,L1_SingleMu22,1,7190.46,417.233,242.103,1615.11
11,L1_SingleMu25,1,5858.9,376.624,0,1111.1
12,L1_SingleMu30,1,4188.38,318.437,0,753.406
13,L1_SingleMu14er2p1,180,96.8413,48.4206,72.631,80.7011
14,L1_SingleMu16er2p1,120,96.8413,48.4206,24.2103,34.394
15,L1_SingleMu18er2p1,100,96.8413,48.4206,0,16.7166
16,L1_SingleMu20er2p1,1,7723.09,432.41,774.73,2113.85
17,L1_SingleMu22er2p1,1,6004.16,381.264,0,1081.57
20,L1_DoubleMu0,2400,96.8413,48.4206,96.8413,96.8413
21,L1_DoubleMu_11_4,45,72.631,41.9335,48.4206,51.4469
22,L1_DoubleMu_12_5,1,2493.66,245.708,193.683,622.924
23,L1_DoubleMu_12_8,1,1137.88,165.978,0,149.326
24,L1_DoubleMu_13_6,1,1622.09,198.17,0,264.686
25,L1_DoubleMu_15_5,1,1767.35,206.853,0,273.096
26,L1_DoubleMu_15_7,1,1113.67,164.202,0,128.706
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,1,2251.56,233.476,242.103,816.849
29,L1_TripleMu_4_4_4,1,581.048,118.606,0,95.2852
30,L1_TripleMu_5_0_0,65,72.631,41.9335,48.4206,52.4557
31,L1_TripleMu_5_3_3,1,1525.25,192.163,0,368.151
32,L1_TripleMu_5_5_3,1,750.52,134.797,0,120.37
33,L1_QuadMu0,1,895.782,147.266,411.575,546.133
40,L1_SingleEG5,100000,96.8413,48.4206,96.8413,96.8413
41,L1_SingleEG10,18000,72.631,41.9335,72.631,72.631
42,L1_SingleEG15,4000,96.8413,48.4206,72.631,84.7361
43,L1_SingleEG18,1300,96.8413,48.4206,96.8413,96.8413
44,L1_SingleEG24,500,72.631,41.9335,24.2103,30.1528
45,L1_SingleEG26,370,96.8413,48.4206,72.631,77.473
46,L1_SingleEG28,300,96.8413,48.4206,0,11.7857
47,L1_SingleEG30,260,72.631,41.9335,0,1.29122
48,L1_SingleEG32,200,96.8413,48.4206,0,7.91028
49,L1_SingleEG34,1,15978.8,621.974,435.786,2070.04
50,L1_SingleEG36,1,13630.4,574.453,0,1100.47
51,L1_SingleEG38,1,11693.6,532.076,0,698.022
52,L1_SingleEG40,1,10168.3,496.164,0,511.222
53,L1_SingleEG45,1,7311.52,420.73,0,282.583
54,L1_SingleEG34er2p1,1,12831.5,557.363,0,1108.41
55,L1_SingleEG36er2p1,1,11088.3,518.123,0,615.82
56,L1_SingleEG38er2p1,1,9708.34,484.811,0,413.382
57,L1_SingleIsoEG18,300,72.631,41.9335,48.4206,60.5258
58,L1_SingleIsoEG20,250,72.631,41.9335,24.2103,31.0699
59,L1_SingleIsoEG22,200,96.8413,48.4206,0,6.7961
60,L1_SingleIsoEG24,190,72.631,41.9335,0,6.83077
61,L1_SingleIsoEG26,1,15978.8,621.974,48.4206,1152.3
62,L1_SingleIsoEG28,1,14550.4,593.523,0,826.923
63,L1_SingleIsoEG30,1,13339.9,568.298,0,654.576
64,L1_SingleIsoEG32,1,12008.3,539.189,0,511.797
65,L1_SingleIsoEG34,1,11039.9,516.991,0,426.032
66,L1_SingleIsoEG36,1,10313.6,499.695,0,377.177
67,L1_SingleIsoEG38,1,9684.13,484.206,0,344.22
68,L1_SingleIsoEG18er2p1,270,72.631,41.9335,0,15.0194
69,L1_SingleIsoEG20er2p1,220,72.631,41.9335,0,16.8319
70,L1_SingleIsoEG22er2p1,190,72.631,41.9335,0,9.53261
71,L1_SingleIsoEG24er2p1,1,16148.3,625.264,435.786,1785.85
72,L1_SingleIsoEG26er2p1,1,14477.8,592.04,0,942.732
73,L1_SingleIsoEG28er2p1,1,13194.6,565.196,0,678.283
74,L1_SingleIsoEG30er2p1,1,12056.7,540.275,0,531.876
75,L1_SingleIsoEG32er2p1,1,10822,511.864,0,411.721
76,L1_SingleIsoEG34er2p1,1,9877.81,489.024,0,337.39
77,L1_SingleIsoEG36er2p1,1,9248.34,473.186,0,304.675
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,1,8885.19,463.803,387.365,2085.58
84,L1_DoubleEG_22_12,1,5665.21,370.347,0,851.538
85,L1_DoubleEG_22_15,1,3098.92,273.908,0,336.985
86,L1_DoubleEG_23_10,1,7965.19,439.135,0,1478.3
87,L1_DoubleEG_24_17,1,1743.14,205.431,0,115.98
88,L1_DoubleEG_25_12,1,4212.6,319.356,0,395.952
89,L1_DoubleEG_25_13,1,3607.34,295.525,0,313.013
90,L1_DoubleEG_25_14,1,2905.24,265.211,0,215.739
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,1,798.94,139.078,193.683,253.796
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,90,72.631,41.9335,24.2103,32.7206
102,L1_SingleTau100er2p1,45,72.631,41.9335,0,2.19116
103,L1_SingleTau120er2p1,1,2299.98,235.973,0,80.3288
104,L1_DoubleTau50er2p1,70,72.631,41.9335,0,5.3903
105,L1_DoubleTau70er2p1,1,2251.56,233.476,0,137.897
106,L1_DoubleIsoTau28er2p1,120,96.8413,48.4206,24.2103,38.9821
107,L1_DoubleIsoTau30er2p1,100,96.8413,48.4206,0,29.7585
108,L1_DoubleIsoTau32er2p1,1,8885.19,463.803,363.155,1593.75
109,L1_DoubleIsoTau33er2p1,1,8376.77,450.338,0,1189.35
110,L1_DoubleIsoTau34er2p1,1,7771.51,433.763,0,945.172
111,L1_DoubleIsoTau35er2p1,1,7166.25,416.53,0,790.704
112,L1_DoubleIsoTau36er2p1,1,6609.42,400.02,0,671.504
113,L1_DoubleIsoTau38er2p1,1,5955.74,379.724,0,567.503
120,L1_SingleJet16,0,0,0,0,0
121,L1_SingleJet20,0,0,0,0,0
122,L1_SingleJet35,60000,96.8413,48.4206,96.8413,96.8413
123,L1_SingleJet60,6000,72.631,41.9335,48.4206,49.6949
124,L1_SingleJet90,600,96.8413,48.4206,24.2103,39.14
125,L1_SingleJet120,200,72.631,41.9335,24.2103,44.3856
126,L1_SingleJet140,100,72.631,41.9335,24.2103,29.9266
127,L1_SingleJet150,70,96.8413,48.4206,0,8.03855
128,L1_SingleJet160,60,72.631,41.9335,24.2103,33.8944
129,L1_SingleJet170,1,4139.96,316.591,24.2103,380.709
130,L1_SingleJet180,1,3437.87,288.499,0,247.507
131,L1_SingleJet200,1,2590.5,250.433,0,103.093
140,L1_DoubleJet40er3p0,0,0,0,0,0
141,L1_DoubleJet50er3p0,1800,96.8413,48.4206,96.8413,96.8413
142,L1_DoubleJet60er3p0,750,96.8413,48.4206,72.631,73.1812
143,L1_DoubleJet80er3p0,200,96.8413,48.4206,24.2103,29.2733
144,L1_DoubleJet100er3p0,1,8497.82,453.58,629.468,1940.95
145,L1_DoubleJet112er3p0,1,5084.17,350.841,0,607.157
146,L1_DoubleJet120er3p0,1,3922.07,308.147,0,383.899
147,L1_TripleJet_84_68_48_VBF,0,0,0,0,0
148,L1_TripleJet_88_72_56_VBF,70,96.8413,48.4206,0,18.6339
149,L1_TripleJet_92_76_64_VBF,1,3897.86,307.194,387.365,922.783
150,L1_QuadJet40er3p0,300,96.8413,48.4206,72.631,72.9298
151,L1_QuadJet50er3p0,40,72.631,41.9335,24.2103,26.0261
152,L1_QuadJet60er3p0,1,992.623,155.022,48.4206,148.808
160,L1_HTT120er,2700,96.8413,48.4206,96.8413,96.8413
161,L1_HTT160er,1000,96.8413,48.4206,96.8413,96.8413
162,L1_HTT200er,420,96.8413,48.4206,48.4206,72.631
163,L1_HTT220er,300,72.631,41.9335,0,21.6164
164,L1_HTT240er,210,96.8413,48.4206,24.2103,36.1137
165,L1_HTT255er,160,96.8413,48.4206,0,17.6197
166,L1_HTT270er,140,72.631,41.9335,0,12.5453
167,L1_HTT280er,110,96.8413,48.4206,24.2103,33.1779
168,L1_HTT300er,90,72.631,41.9335,0,9.69461
169,L1_HTT320er,70,96.8413,48.4206,0,3.49559
170,L1_HTT340er,60,72.631,41.9335,0,4.41829
171,L1_HTT380er,1,3679.97,298.485,0,217.534
172,L1_HTT400er,1,3147.34,276.04,0,162.272
173,L1_HTT450er,1,2154.72,228.4,0,82.6301
174,L1_HTT500er,1,1646.3,199.643,0,41.3947
180,L1_ETM30,60000,121.052,54.1359,121.052,121.052
181,L1_ETM40,0,0,0,0,0
182,L1_ETM50,0,0,0,0,0
183,L1_ETM60,4500,96.8413,48.4206,96.8413,96.8413
184,L1_ETM70,0,0,0,0,0
185,L1_ETM75,0,0,0,0,0
186,L1_ETM80,0,0,0,0,0
187,L1_ETM85,0,0,0,0,0
188,L1_ETM90,220,96.8413,48.4206,72.631,78.6835
189,L1_ETM95,140,72.631,41.9335,72.631,72.631
190,L1_ETM100,80,96.8413,48.4206,24.2103,40.8446
191,L1_ETM105,1,5059.96,350.004,1065.25,1753.69
192,L1_ETM110,1,3655.76,297.501,0,605.852
193,L1_ETM115,1,2614.71,251.601,0,295.173
194,L1_ETM120,1,1985.25,219.234,0,139.854
195,L1_ETM150,1,1041.04,158.758,0,23.1047
200,L1_ETMHF70,4000,96.8413,48.4206,96.8413,96.8413
201,L1_ETMHF80,0,0,0,0,0
202,L1_ETMHF90,0,0,0,0,0
203,L1_ETMHF100,260,96.8413,48.4206,72.631,73.125
204,L1_ETMHF110,110,72.631,41.9335,48.4206,60.5258
205,L1_ETMHF120,1,4599.96,333.716,556.837,1462.05
206,L1_ETMHF150,1,1089.46,162.408,0,36.7505
240,L1_SingleMuOpen_NotBptxOR,35,0,0,0,0
241,L1_SingleMuOpen_NotBptxOR_3BX,1,0,0,0,0
242,L1_SingleJet20er3p0_NotBptxOR,1000,0,0,0,0
243,L1_SingleJet20er3p0_NotBptxOR_3BX,0,0,0,0,0
244,L1_SingleJet43er3p0_NotBptxOR_3BX,1,0,0,0,0
245,L1_SingleJet46er3p0_NotBptxOR_3BX,1,0,0,0,0
250,L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3,1,12056.7,540.275,0,986.074
251,L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3,1,8062.04,441.797,0,361.388
252,L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3,1,7505.2,426.267,0,278.862
253,L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3,1,7020.99,412.287,0,246.474
254,L1_IsoEG24er2p1_HTT100er,1,8788.35,461.268,0,367.366
255,L1_IsoEG26er2p1_HTT100er,1,8425.19,451.638,0,299.69
256,L1_IsoEG28er2p1_HTT100er,1,8158.88,444.442,0,268.581
257,L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,1,7456.78,424.889,0,492.334
258,L1_Mu18_HTT100er,1,1452.62,187.532,0,175.562
259,L1_Mu18_Jet24er3p0,90,72.631,41.9335,0,13.6183
260,L1_Mu20_EG17,1,242.103,76.5597,0,16.9394
261,L1_Mu23_EG10,1,702.099,130.377,0,68.2612
262,L1_Mu23_IsoEG10,1,48.4206,34.2386,0,2.2234
263,L1_Mu5_EG23,1,1815.77,209.667,266.313,572.68
264,L1_Mu5_IsoEG20,1,605.258,121.052,0,60.9149
265,L1_Mu7_EG23,1,871.571,145.262,0,217.79
266,L1_Mu7_IsoEG20,1,217.893,72.631,0,19.422
267,L1_Mu7_IsoEG23,1,169.472,64.0545,0,8.32562
268,L1_HTT250er_QuadJet_70_55_40_35_er2p5,80,72.631,41.9335,0,18.7785
269,L1_HTT280er_QuadJet_70_55_40_35_er2p5,60,72.631,41.9335,0,15.5638
270,L1_HTT300er_QuadJet_70_55_40_35_er2p5,1,4333.65,323.912,750.52,1303.85
275,L1_DoubleJet100er2p3_dEta_Max1p6,1,4721.01,338.079,0,727.359
276,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,30,72.631,41.9335,48.4206,50.6216
277,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1,1283.15,176.254,338.944,462.619
278,L1_IsoTau40er_ETM80,50,96.8413,48.4206,0,20.1019
279,L1_IsoTau40er_ETM85,40,96.8413,48.4206,24.2103,34.4552
280,L1_IsoTau40er_ETM90,30,96.8413,48.4206,0,12.3254
281,L1_IsoTau40er_ETM95,1,2542.08,248.082,72.631,305.388
282,L1_IsoTau40er_ETM100,1,2178.93,229.679,0,159.759
283,L1_IsoTau40er_ETMHF80,50,96.8413,48.4206,24.2103,27.5557
284,L1_IsoTau40er_ETMHF90,1,3074.71,272.836,556.837,773.983
