L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,57000,55.3502,39.1385,55.3502,55.3502
2,L1_SingleMu3,18000,55.3502,39.1385,55.3502,55.3502
3,L1_SingleMu5,4100,83.0253,47.9347,83.0253,83.0253
4,L1_SingleMu7,1700,83.0253,47.9347,83.0253,83.0253
5,L1_SingleMu10_LowQ,700,110.7,55.3502,110.7,110.7
6,L1_SingleMu11_LowQ,600,83.0253,47.9347,83.0253,83.0253
7,L1_SingleMu16,170,83.0253,47.9347,27.6751,40.1289
8,L1_SingleMu18,140,83.0253,47.9347,0,18.2727
9,L1_SingleMu20,100,83.0253,47.9347,0,15.6826
10,L1_SingleMu22,90,83.0253,47.9347,0,29.9814
11,L1_SingleMu25,1,6697.37,430.524,138.376,2164.49
12,L1_SingleMu30,1,4787.79,364.009,0,1378.29
13,L1_SingleMu14er2p1,180,110.7,55.3502,110.7,110.7
14,L1_SingleMu16er2p1,120,110.7,55.3502,27.6751,44.972
15,L1_SingleMu18er2p1,100,110.7,55.3502,0,29.2126
16,L1_SingleMu20er2p1,90,83.0253,47.9347,27.6751,40.1289
17,L1_SingleMu22er2p1,1,6863.43,435.828,719.553,2478.09
20,L1_DoubleMu0,2700,83.0253,47.9347,83.0253,83.0253
21,L1_DoubleMu_11_4,50,83.0253,47.9347,27.6751,33.5176
22,L1_DoubleMu_12_5,1,2850.54,280.872,221.401,736.203
23,L1_DoubleMu_12_8,1,1300.73,189.731,0,176.537
24,L1_DoubleMu_13_6,1,1854.23,226.53,0,314.675
25,L1_DoubleMu_15_5,1,2020.28,236.456,0,338.122
26,L1_DoubleMu_15_7,1,1273.05,187.702,0,156.853
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,1,2573.78,266.889,276.751,941.129
29,L1_TripleMu_4_4_4,1,664.202,135.58,0,110.096
30,L1_TripleMu_5_0_0,75,83.0253,47.9347,55.3502,69.1878
31,L1_TripleMu_5_3_3,1,1743.53,219.664,0,423.604
32,L1_TripleMu_5_5_3,1,857.928,154.088,0,139.868
33,L1_QuadMu0,1,1023.98,168.341,470.477,625.214
40,L1_SingleEG5,115000,83.0253,47.9347,83.0253,83.0253
41,L1_SingleEG10,21000,83.0253,47.9347,83.0253,83.0253
