L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,65000,61.2249,43.2925,61.2249,61.2249
2,L1_SingleMu3,21000,61.2249,43.2925,61.2249,61.2249
3,L1_SingleMu5,4700,61.2249,43.2925,30.6124,34.0138
4,L1_SingleMu7,2000,61.2249,43.2925,61.2249,61.2249
5,L1_SingleMu10_LowQ,800,91.8373,53.0223,91.8373,91.8373
6,L1_SingleMu11_LowQ,700,61.2249,43.2925,30.6124,34.9856
7,L1_SingleMu16,200,61.2249,43.2925,30.6124,34.439
8,L1_SingleMu18,160,61.2249,43.2925,0,15.3062
9,L1_SingleMu20,120,61.2249,43.2925,0,6.37759
10,L1_SingleMu22,0,0,0,0,0
11,L1_SingleMu25,1,7408.21,476.218,183.675,2461.15
12,L1_SingleMu30,1,5234.73,400.309,0,1539.7
13,L1_SingleMu14er2p1,210,91.8373,53.0223,0,38.2655
14,L1_SingleMu16er2p1,140,91.8373,53.0223,30.6124,61.2249
15,L1_SingleMu18er2p1,120,91.8373,53.0223,0,25.1459
16,L1_SingleMu20er2p1,100,61.2249,43.2925,0,15.3062
17,L1_SingleMu22er2p1,1,7255.15,471.272,520.411,2510.24
20,L1_DoubleMu0,3100,61.2249,43.2925,61.2249,61.2249
21,L1_DoubleMu_11_4,60,61.2249,43.2925,30.6124,32.5257
22,L1_DoubleMu_12_5,25,61.2249,43.2925,30.6124,34.9856
23,L1_DoubleMu_12_8,1,826.536,159.067,61.2249,187.585
24,L1_DoubleMu_13_6,1,1285.72,198.391,30.6124,251.315
25,L1_DoubleMu_15_5,1,1438.78,209.868,183.675,392.217
26,L1_DoubleMu_15_7,1,826.536,159.067,0,106.89
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,1,2448.99,273.806,306.124,1015.25
29,L1_TripleMu_4_4_4,1,642.861,140.284,0,125.839
30,L1_TripleMu_5_0_0,85,61.2249,43.2925,30.6124,40.8166
31,L1_TripleMu_5_3_3,1,1775.52,233.137,0,556.32
32,L1_TripleMu_5_5_3,1,612.249,136.903,0,109.342
33,L1_QuadMu0,1,1132.66,186.208,765.311,843.7
40,L1_SingleEG5,130000,91.8373,53.0223,91.8373,91.8373
41,L1_SingleEG10,24000,61.2249,43.2925,61.2249,61.2249
42,L1_SingleEG15,5100,91.8373,53.0223,61.2249,67.3473
43,L1_SingleEG18,1700,91.8373,53.0223,61.2249,65.5981
44,L1_SingleEG24,700,61.2249,43.2925,61.2249,61.2249
45,L1_SingleEG26,420,91.8373,53.0223,30.6124,42.6173
46,L1_SingleEG28,480,61.2249,43.2925,30.6124,34.439
47,L1_SingleEG30,340,61.2249,43.2925,61.2249,61.2249
48,L1_SingleEG32,260,61.2249,43.2925,0,4.85912
49,L1_SingleEG34,200,91.8373,53.0223,61.2249,62.6826
50,L1_SingleEG36,180,61.2249,43.2925,0,4.76193
51,L1_SingleEG38,1,13775.6,649.388,367.349,1997.67
52,L1_SingleEG40,1,11510.3,593.597,0,1144.68
53,L1_SingleEG45,1,8204.13,501.147,0,538.627
54,L1_SingleEG34er2p1,160,61.2249,43.2925,30.6124,32.4132
55,L1_SingleEG36er2p1,140,61.2249,43.2925,0,9.18373
56,L1_SingleEG38er2p1,1,10806.2,575.155,0,1108.4
57,L1_SingleIsoEG18,400,61.2249,43.2925,30.6124,45.9186
58,L1_SingleIsoEG20,380,61.2249,43.2925,30.6124,33.6737
59,L1_SingleIsoEG22,300,61.2249,43.2925,0,4.09988
60,L1_SingleIsoEG24,280,61.2249,43.2925,30.6124,31.7898
61,L1_SingleIsoEG26,230,61.2249,43.2925,0,17.4928
62,L1_SingleIsoEG28,190,61.2249,43.2925,0,3.26533
63,L1_SingleIsoEG30,1,15398.1,686.565,183.675,1609.89
64,L1_SingleIsoEG32,1,13469.5,642.132,0,1044.26
65,L1_SingleIsoEG34,1,12275.6,613.013,0,829.777
66,L1_SingleIsoEG36,1,11357.2,589.637,0,710.613
67,L1_SingleIsoEG38,1,10653.1,571.067,0,632.354
68,L1_SingleIsoEG18er2p1,350,61.2249,43.2925,0,6.41403
69,L1_SingleIsoEG20er2p1,280,61.2249,43.2925,0,16.9174
70,L1_SingleIsoEG22er2p1,250,61.2249,43.2925,61.2249,61.2249
71,L1_SingleIsoEG24er2p1,220,61.2249,43.2925,0,17.347
72,L1_SingleIsoEG26er2p1,180,61.2249,43.2925,0,11.4286
73,L1_SingleIsoEG28er2p1,1,14479.7,665.776,642.861,1988.43
74,L1_SingleIsoEG30er2p1,1,13347,639.206,0,1165.54
75,L1_SingleIsoEG32er2p1,1,11632.7,596.746,0,786.985
76,L1_SingleIsoEG34er2p1,1,10561.3,568.601,0,626.069
77,L1_SingleIsoEG36er2p1,1,9704.14,545.039,0,527.313
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,130,91.8373,53.0223,0,22.9593
84,L1_DoubleEG_22_12,1,7224.53,470.277,734.698,2147.15
85,L1_DoubleEG_22_15,1,3979.62,349.035,0,741.695
