L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,70000,30.6124,30.6124,30.6124,30.6124
2,L1_SingleMu3,21000,61.2249,43.2925,61.2249,61.2249
3,L1_SingleMu5,5000,61.2249,43.2925,61.2249,61.2249
4,L1_SingleMu7,2000,61.2249,43.2925,61.2249,61.2249
5,L1_SingleMu10_LowQ,800,91.8373,53.0223,91.8373,91.8373
6,L1_SingleMu11_LowQ,700,61.2249,43.2925,30.6124,35.7145
7,L1_SingleMu16,200,61.2249,43.2925,30.6124,34.439
8,L1_SingleMu18,160,61.2249,43.2925,0,15.3062
9,L1_SingleMu20,120,61.2249,43.2925,0,7.15615
10,L1_SingleMu22,0,0,0,0,0
11,L1_SingleMu25,1,7408.21,476.218,183.675,2451.7
12,L1_SingleMu30,1,5234.73,400.309,0,1548.65
13,L1_SingleMu14er2p1,210,91.8373,53.0223,0,38.2655
14,L1_SingleMu16er2p1,140,91.8373,53.0223,30.6124,56.1228
15,L1_SingleMu18er2p1,120,91.8373,53.0223,0,25.3141
16,L1_SingleMu20er2p1,100,61.2249,43.2925,0,15.3062
17,L1_SingleMu22er2p1,1,7255.15,471.272,520.411,2523.67
20,L1_DoubleMu0,3000,91.8373,53.0223,91.8373,91.8373
21,L1_DoubleMu_11_4,60,61.2249,43.2925,30.6124,32.799
22,L1_DoubleMu_12_5,0,0,0,0,0
23,L1_DoubleMu_12_8,1,826.536,159.067,61.2249,195.143
24,L1_DoubleMu_13_6,1,1285.72,198.391,30.6124,264.567
25,L1_DoubleMu_15_5,1,1438.78,209.868,183.675,403.088
26,L1_DoubleMu_15_7,1,826.536,159.067,0,111.505
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,642.861,140.284,0,147.559
30,L1_TripleMu_5_0_0,100,61.2249,43.2925,0,20.4083
31,L1_TripleMu_5_3_3,1,1775.52,233.137,520.411,873.621
32,L1_TripleMu_5_5_3,1,612.249,136.903,0,119.024
33,L1_QuadMu0,1,1132.66,186.208,642.861,796.944
40,L1_SingleEG5,130000,91.8373,53.0223,91.8373,91.8373
