L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,0,0,0,0
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,37,3095.85,750.853,2731.63,2848.7
4,L1_SingleMu7,10,4916.93,946.264,3824.28,4193.56
5,L1_SingleMu10_LowQ,600,0,0,0,0
6,L1_SingleMu11_LowQ,500,0,0,0,0
7,L1_SingleMu16,1,6191.69,1061.87,0,968.526
8,L1_SingleMu18,1,4734.82,928.575,0,538.547
9,L1_SingleMu20,1,3277.95,772.621,0,356.719
10,L1_SingleMu22,1,2549.52,681.388,0,251.789
11,L1_SingleMu25,1,1821.09,575.878,0,156.435
12,L1_SingleMu30,1,1456.87,515.081,0,112.209
13,L1_SingleMu14er2p1,3,2367.41,656.602,364.217,652.357
14,L1_SingleMu16er2p1,1,5281.15,980.685,0,798.341
15,L1_SingleMu18er2p1,1,3824.28,834.526,0,368.363
16,L1_SingleMu20er2p1,1,2549.52,681.388,0,247.237
17,L1_SingleMu22er2p1,1,1821.09,575.878,0,142.308
20,L1_DoubleMu0,600,0,0,0,0
21,L1_DoubleMu_11_4,30,0,0,0,0
22,L1_DoubleMu_12_5,1,1274.76,481.814,0,99.573
23,L1_DoubleMu_12_8,1,728.434,364.217,0,56.9089
24,L1_DoubleMu_13_6,1,910.543,407.207,0,73.4643
25,L1_DoubleMu_15_5,1,1274.76,481.814,0,99.573
26,L1_DoubleMu_15_7,1,910.543,407.207,0,73.4643
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,364.217,257.54,0,24.0853
30,L1_TripleMu_5_0_0,1,1638.98,546.326,182.109,631.114
31,L1_TripleMu_5_3_3,1,364.217,257.54,0,24.0853
32,L1_TripleMu_5_5_3,1,364.217,257.54,0,24.0853
33,L1_QuadMu0,1,182.109,182.109,0,91.0543
40,L1_SingleEG5,3557,1092.65,446.073,1092.65,1092.65
41,L1_SingleEG10,200,3460.06,793.793,3277.95,3323.48
42,L1_SingleEG15,80,2003.19,603.986,1638.98,1766.45
43,L1_SingleEG18,20,2913.74,728.434,2003.19,2214.49
44,L1_SingleEG24,10,2003.19,603.986,364.217,645.143
45,L1_SingleEG26,5,3095.85,750.853,1092.65,1371.31
46,L1_SingleEG28,4,3095.85,750.853,0,422.382
47,L1_SingleEG30,2,5281.15,980.685,546.326,1220.87
48,L1_SingleEG32,1,8376.99,1235.12,182.109,1092.01
49,L1_SingleEG34,1,6920.13,1122.59,0,576.279
50,L1_SingleEG36,1,5827.47,1030.16,0,376.393
51,L1_SingleEG38,1,4370.61,892.146,0,147.39
52,L1_SingleEG40,1,3642.17,814.414,0,108.848
53,L1_SingleEG45,1,3095.85,750.853,0,88.2088
54,L1_SingleEG34er2p1,1,5099.04,963.628,0,277.08
55,L1_SingleEG36er2p1,1,4370.61,892.146,0,228.951
56,L1_SingleEG38er2p1,1,3277.95,772.621,0,91.0019
57,L1_SingleIsoEG18,3,4188.5,873.362,182.109,1144.01
58,L1_SingleIsoEG20,2,5281.15,980.685,0,818.329
59,L1_SingleIsoEG22,1,7648.56,1180.2,0,554.352
60,L1_SingleIsoEG24,1,7102.23,1137.27,0,366.174
61,L1_SingleIsoEG26,1,6738.02,1107.72,0,323.176
62,L1_SingleIsoEG28,1,5827.47,1030.16,0,234.951
63,L1_SingleIsoEG30,1,5463.26,997.45,0,195.632
64,L1_SingleIsoEG32,1,5281.15,980.685,0,186.96
65,L1_SingleIsoEG34,1,4734.82,928.575,0,149.269
66,L1_SingleIsoEG36,1,4188.5,873.362,0,127.156
67,L1_SingleIsoEG38,1,4188.5,873.362,0,127.156
68,L1_SingleIsoEG18er2p1,3,3642.17,814.414,182.109,982.132
69,L1_SingleIsoEG20er2p1,1,8741.21,1261.69,0,1593.15
70,L1_SingleIsoEG22er2p1,1,6009.58,1046.13,0,363.912
71,L1_SingleIsoEG24er2p1,1,5645.37,1013.94,0,266.788
72,L1_SingleIsoEG26er2p1,1,5281.15,980.685,0,223.79
73,L1_SingleIsoEG28er2p1,1,4370.61,892.146,0,135.565
74,L1_SingleIsoEG30er2p1,1,4188.5,873.362,0,119.01
75,L1_SingleIsoEG32er2p1,1,4006.39,854.165,0,110.338
76,L1_SingleIsoEG34er2p1,1,3642.17,814.414,0,92.8808
77,L1_SingleIsoEG36er2p1,1,3095.85,750.853,0,70.7676
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
