L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,33.7439,33.7439,33.7439,33.7439
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,37,3374.39,337.439,3036.95,3149.53
4,L1_SingleMu7,9,5567.74,433.448,4454.19,4759.19
5,L1_SingleMu10_LowQ,600,33.7439,33.7439,33.7439,33.7439
6,L1_SingleMu11_LowQ,500,33.7439,33.7439,0,2.24959
7,L1_SingleMu16,1,4724.14,399.263,67.4878,856.343
8,L1_SingleMu18,1,3543.11,345.772,0,424.608
9,L1_SingleMu20,1,2901.97,312.928,0,291.246
10,L1_SingleMu22,1,2463.3,288.308,0,241.383
11,L1_SingleMu25,1,1889.66,252.516,0,179.555
12,L1_SingleMu30,1,1147.29,196.759,0,109.922
13,L1_SingleMu14er2p1,3,1957.15,256.986,573.646,807.453
14,L1_SingleMu16er2p1,1,4049.27,369.646,0,633.874
15,L1_SingleMu18er2p1,1,2935.72,314.742,0,269.627
16,L1_SingleMu20er2p1,1,2463.3,288.308,0,209.377
17,L1_SingleMu22er2p1,1,2058.38,263.548,0,167.95
20,L1_DoubleMu0,600,101.232,58.4461,33.7439,52.4905
21,L1_DoubleMu_11_4,30,33.7439,33.7439,0,2.10899
22,L1_DoubleMu_12_5,1,438.671,121.665,0,66.0728
23,L1_DoubleMu_12_8,1,101.232,58.4461,0,15.9526
24,L1_DoubleMu_13_6,1,337.439,106.708,0,59.8343
25,L1_DoubleMu_15_5,1,303.695,101.232,0,28.1365
26,L1_DoubleMu_15_7,1,101.232,58.4461,0,9.52523
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,134.976,67.4878,0,14.5073
30,L1_TripleMu_5_0_0,1,1181.04,199.632,202.463,446.704
31,L1_TripleMu_5_3_3,1,371.183,111.916,0,56.1181
32,L1_TripleMu_5_5_3,1,134.976,67.4878,0,17.9612
33,L1_QuadMu0,1,33.7439,33.7439,33.7439,33.7439
40,L1_SingleEG5,3557,1147.29,196.759,1147.29,1147.29
41,L1_SingleEG10,144,4656.66,396.401,4521.68,4573.21
42,L1_SingleEG15,65,2429.56,286.326,1957.15,2088.16
43,L1_SingleEG18,13,4150.5,374.238,2260.84,2731.39
44,L1_SingleEG24,7,2767,305.564,607.39,953.191
45,L1_SingleEG26,3,4892.86,406.33,776.109,1422.5
46,L1_SingleEG28,2,5567.74,433.448,303.695,1027.37
47,L1_SingleEG30,1,8908.39,548.273,303.695,1254.52
48,L1_SingleEG32,1,7288.68,495.932,0,604.814
49,L1_SingleEG34,1,6175.13,456.479,0,398.031
50,L1_SingleEG36,1,5230.3,420.108,0,267.602
51,L1_SingleEG38,1,4420.45,386.216,0,184.42
52,L1_SingleEG40,1,3880.55,361.863,0,139.216
53,L1_SingleEG45,1,2767,305.564,0,69.1408
54,L1_SingleEG34er2p1,1,4960.35,409.123,0,221.172
55,L1_SingleEG36er2p1,1,4285.47,380.274,0,155.202
56,L1_SingleEG38er2p1,1,3678.08,352.297,0,105.403
57,L1_SingleIsoEG18,3,4251.73,378.774,742.366,1217.3
58,L1_SingleIsoEG20,2,4859.12,404.927,67.4878,673.325
59,L1_SingleIsoEG22,1,8267.25,528.175,33.7439,726.766
60,L1_SingleIsoEG24,1,7153.7,491.318,0,426.847
61,L1_SingleIsoEG26,1,6276.36,460.205,0,289.139
62,L1_SingleIsoEG28,1,5331.53,424.154,0,191.884
63,L1_SingleIsoEG30,1,4859.12,404.927,0,152.211
64,L1_SingleIsoEG32,1,4589.17,393.518,0,134.769
65,L1_SingleIsoEG34,1,4217.99,377.268,0,118.605
66,L1_SingleIsoEG36,1,3846.8,360.286,0,101.901
67,L1_SingleIsoEG38,1,3610.6,349.05,0,92.9347
68,L1_SingleIsoEG18er2p1,3,3914.29,363.433,843.597,1296.84
69,L1_SingleIsoEG20er2p1,1,8942.13,549.311,337.439,1275.98
70,L1_SingleIsoEG22er2p1,1,7626.12,507.282,0,570.735
71,L1_SingleIsoEG24er2p1,1,6647.55,473.618,0,355.176
72,L1_SingleIsoEG26er2p1,1,5837.69,443.832,0,245.588
73,L1_SingleIsoEG28er2p1,1,4960.35,409.123,0,165.205
74,L1_SingleIsoEG30er2p1,1,4555.43,392.069,0,136.499
75,L1_SingleIsoEG32er2p1,1,4285.47,380.274,0,119.056
76,L1_SingleIsoEG34er2p1,1,3914.29,363.433,0,102.893
77,L1_SingleIsoEG36er2p1,1,3576.85,347.415,0,88.7844
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,1,2665.77,299.922,303.695,612.394
87,L1_DoubleEG_24_17,1,506.158,130.69,0,33.1862
88,L1_DoubleEG_25_12,1,1518.48,226.361,0,152.957
89,L1_DoubleEG_25_13,1,1349.76,213.415,0,124.366
90,L1_DoubleEG_25_14,1,1012.32,184.823,0,76.2645
91,L1_TripleEG_14_10_8,1,2159.61,269.951,1518.48,1685.26
92,L1_TripleEG_18_17_8,1,168.719,75.4536,0,35.7845
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,1,3036.95,320.123,0,161.021
102,L1_SingleTau100er2p1,1,1383.5,216.066,0,39.3386
103,L1_SingleTau120er2p1,1,742.366,158.273,0,15.3867
104,L1_DoubleTau50er2p1,1,2395.82,284.331,0,172.078
105,L1_DoubleTau70er2p1,1,809.853,165.311,0,24.0797
106,L1_DoubleIsoTau28er2p1,1,4757.89,400.686,506.158,1137.9
107,L1_DoubleIsoTau30er2p1,1,3981.78,366.552,0,573.338
108,L1_DoubleIsoTau32er2p1,1,3104.44,323.66,0,245.745
109,L1_DoubleIsoTau33er2p1,1,2868.23,311.103,0,183.435
110,L1_DoubleIsoTau34er2p1,1,2733.26,303.695,0,163.731
111,L1_DoubleIsoTau35er2p1,1,2497.05,290.276,0,137.698
