L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,17.6983,17.6983,17.6983,17.6983
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,0,0,0,0,0
4,L1_SingleMu7,200,123.888,46.8252,106.19,115.039
5,L1_SingleMu10_LowQ,600,17.6983,17.6983,17.6983,17.6983
6,L1_SingleMu11_LowQ,500,17.6983,17.6983,0,1.76983
7,L1_SingleMu16,0,0,0,0,0
8,L1_SingleMu18,200,0,0,0,0
9,L1_SingleMu20,0,0,0,0,0
10,L1_SingleMu22,1,1291.97,151.214,17.6983,267.486
11,L1_SingleMu25,1,991.103,132.442,0,186.693
12,L1_SingleMu30,1,601.741,103.198,0,108.402
13,L1_SingleMu14er2p1,0,0,0,0,0
14,L1_SingleMu16er2p1,200,0,0,0,0
15,L1_SingleMu18er2p1,0,0,0,0,0
16,L1_SingleMu20er2p1,1,1291.97,151.214,17.6983,241.859
17,L1_SingleMu22er2p1,1,1079.59,138.228,0,173.39
20,L1_DoubleMu0,600,53.0948,30.6543,17.6983,27.4789
21,L1_DoubleMu_11_4,30,17.6983,17.6983,0,1.60893
22,L1_DoubleMu_12_5,1,230.077,63.812,0,43.1523
23,L1_DoubleMu_12_8,1,53.0948,30.6543,0,9.72064
24,L1_DoubleMu_13_6,1,176.983,55.9668,0,37.8131
25,L1_DoubleMu_15_5,1,159.284,53.0948,0,22.0128
26,L1_DoubleMu_15_7,1,53.0948,30.6543,0,6.77093
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,70.7931,35.3965,0,7.99396
30,L1_TripleMu_5_0_0,1,619.439,104.704,106.19,242.286
31,L1_TripleMu_5_3_3,1,194.681,58.6985,0,30.9034
32,L1_TripleMu_5_5_3,1,70.7931,35.3965,0,10.619
33,L1_QuadMu0,1,17.6983,17.6983,17.6983,17.6983
