L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,50000,62.0869,27.7661,62.0869,62.0869
2,L1_SingleMuCosmics_BMTF,0,0,0,0,0
3,L1_SingleMuCosmics_OMTF,0,0,0,0,0
4,L1_SingleMuCosmics_EMTF,0,0,0,0,0
5,L1_SingleMu0_BMTF,0,0,0,0,0
6,L1_SingleMu0_OMTF,0,0,0,0,0
7,L1_SingleMu0_EMTF,0,0,0,0,0
8,L1_SingleMu3,16000,62.0869,27.7661,62.0869,62.0869
9,L1_SingleMu5,3600,86.9216,32.8533,62.0869,68.7732
10,L1_SingleMu7,1500,86.9216,32.8533,49.6695,58.7238
11,L1_SingleMu10_LowQ,600,99.339,35.1216,86.9216,90.026
12,L1_SingleMu11_LowQ,0,0,0,0,0
13,L1_SingleMu12_LowQ_BMTF,0,0,0,0,0
14,L1_SingleMu12_LowQ_OMTF,0,0,0,0,0
15,L1_SingleMu12_LowQ_EMTF,0,0,0,0,0
16,L1_SingleMu16,0,0,0,0,0
17,L1_SingleMu18,120,86.9216,32.8533,0,11.4516
18,L1_SingleMu20,1,8530.74,325.468,62.0869,1391
19,L1_SingleMu22,1,7053.07,295.94,0,993.032
20,L1_SingleMu22_BMTF,0,0,0,0,0
21,L1_SingleMu22_OMTF,0,0,0,0,0
22,L1_SingleMu22_EMTF,0,0,0,0,0
23,L1_SingleMu25,1,5538.15,262.239,0,701.039
24,L1_SingleMu30,1,4023.23,223.513,0,488.318
25,L1_SingleMu14er2p1,0,0,0,0,0
26,L1_SingleMu16er2p1,0,0,0,0,0
27,L1_SingleMu18er2p1,1,9015.02,334.579,583.617,1913.79
28,L1_SingleMu20er2p1,1,7164.83,298.276,0,959.691
29,L1_SingleMu22er2p1,1,5910.67,270.915,0,692.31
30,L1_DoubleMu0,0,0,0,0,0
31,L1_DoubleMu_11_4,0,0,0,0,0
32,L1_DoubleMu_12_5,1,1490.09,136.026,99.339,358.552
33,L1_DoubleMu_12_8,1,558.782,83.2983,0,73.0238
34,L1_DoubleMu_13_6,1,869.216,103.891,0,128.635
35,L1_DoubleMu_15_5,1,968.555,109.667,0,129.077
36,L1_DoubleMu_15_7,1,558.782,83.2983,0,45.3325
37,L1_TripleMu0,0,0,0,0,0
38,L1_TripleMu3,1,1788.1,149.009,173.843,590.199
39,L1_TripleMu_4_4_4,1,409.773,71.3324,0,64.9364
40,L1_TripleMu_5_0_0,0,0,0,0,0
41,L1_TripleMu_5_3_3,1,1229.32,123.551,0,260.089
42,L1_TripleMu_5_5_3,1,509.112,79.51,0,76.2434
43,L1_QuadMu0,1,583.617,85.1293,260.765,337.596
50,L1_SingleEG5,100000,99.339,35.1216,99.339,99.339
