L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,40000,87.3226,25.2079,87.3226,87.3226
2,L1_SingleMuCosmics_BMTF,0,0,0,0,0
3,L1_SingleMuCosmics_OMTF,0,0,0,0,0
4,L1_SingleMuCosmics_EMTF,0,0,0,0,0
5,L1_SingleMu0_BMTF,0,0,0,0,0
6,L1_SingleMu0_OMTF,0,0,0,0,0
7,L1_SingleMu0_EMTF,0,0,0,0,0
8,L1_SingleMu3,18000,65.492,21.8307,65.492,65.492
9,L1_SingleMu5,4100,87.3226,25.2079,80.0457,81.5011
10,L1_SingleMu7,1700,80.0457,24.1347,58.2151,65.492
11,L1_SingleMu10_LowQ,780,80.0457,24.1347,65.492,69.7368
12,L1_SingleMu11_LowQ,0,0,0,0,0
13,L1_SingleMu12_LowQ_BMTF,0,0,0,0,0
14,L1_SingleMu12_LowQ_OMTF,0,0,0,0,0
15,L1_SingleMu12_LowQ_EMTF,0,0,0,0,0
16,L1_SingleMu16,0,0,0,0,0
17,L1_SingleMu18,130,72.7689,23.0115,14.5538,34.0139
18,L1_SingleMu20,0,0,0,0,0
19,L1_SingleMu22,0,0,0,0,0
20,L1_SingleMu22_BMTF,0,0,0,0,0
21,L1_SingleMu22_OMTF,0,0,0,0,0
22,L1_SingleMu22_EMTF,0,0,0,0,0
23,L1_SingleMu25,1,5559.54,201.137,189.199,1998.87
24,L1_SingleMu30,1,3871.3,167.842,0,1211.06
25,L1_SingleMu14er2p1,0,0,0,0,0
26,L1_SingleMu16er2p1,0,0,0,0,0
27,L1_SingleMu18er2p1,0,0,0,0,0
28,L1_SingleMu20er2p1,0,0,0,0,0
29,L1_SingleMu22er2p1,1,5544.99,200.874,654.92,2198.58
30,L1_DoubleMu0,0,0,0,0,0
31,L1_DoubleMu_11_4,0,0,0,0,0
32,L1_DoubleMu_12_5,1,1433.55,102.136,196.476,456.355
33,L1_DoubleMu_12_8,1,582.151,65.0864,0,83.1582
34,L1_DoubleMu_13_6,1,771.35,74.9201,0,126.252
35,L1_DoubleMu_15_5,1,851.396,78.7115,0,155.836
36,L1_DoubleMu_15_7,1,487.551,59.5639,0,52.2541
37,L1_DoubleMu18er2p1,1,58.2151,20.5821,0,3.82787
38,L1_DoubleMu22er2p1,1,36.3844,16.2716,0,2.73661
39,L1_TripleMu0,0,0,0,0,0
40,L1_TripleMu3,0,0,0,0,0
41,L1_TripleMu_4_4_4,1,443.89,56.8343,7.27689,97.6712
42,L1_TripleMu_5_0_0,0,0,0,0,0
43,L1_TripleMu_5_3_3,1,1302.56,97.3581,181.922,479.578
44,L1_TripleMu_5_5_3,1,494.828,60.0067,0,86.644
45,L1_QuadMu0,0,0,0,0,0
50,L1_SingleEG5,120000,101.876,27.2276,101.876,101.876
51,L1_SingleEG10,21000,87.3226,25.2079,87.3226,87.3226
52,L1_SingleEG15,5000,87.3226,25.2079,80.0457,82.4714
53,L1_SingleEG18,0,0,0,0,0
54,L1_SingleEG24,0,0,0,0,0
55,L1_SingleEG26,470,80.0457,24.1347,58.2151,60.4624
