L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,55000,61.5172,27.6384,61.5172,61.5172
2,L1_SingleMuCosmics_BMTF,0,0,0,0,0
3,L1_SingleMuCosmics_OMTF,0,0,0,0,0
4,L1_SingleMuCosmics_EMTF,0,0,0,0,0
5,L1_SingleMu0_BMTF,0,0,0,0,0
6,L1_SingleMu0_OMTF,0,0,0,0,0
7,L1_SingleMu0_EMTF,0,0,0,0,0
8,L1_SingleMu3,19000,61.8909,27.7222,61.8909,61.8909
9,L1_SingleMu5,5800,62.8915,27.9454,62.8915,62.8915
10,L1_SingleMu7,2300,63.4764,28.0751,63.4764,63.4764
11,L1_SingleMu10_LowQ,1100,64.6927,28.3428,64.6927,64.6927
12,L1_SingleMu11_LowQ,0,0,0,0,0
13,L1_SingleMu12_LowQ_BMTF,0,0,0,0,0
14,L1_SingleMu12_LowQ_OMTF,0,0,0,0,0
15,L1_SingleMu12_LowQ_EMTF,0,0,0,0,0
16,L1_SingleMu16,0,0,0,0,0
17,L1_SingleMu18,190,65.2574,28.4662,16.3143,25.1707
18,L1_SingleMu20,0,0,0,0,0
19,L1_SingleMu22,1,9318.12,340.157,360.913,2880.94
20,L1_SingleMu22_BMTF,0,0,0,0,0
21,L1_SingleMu22_OMTF,0,0,0,0,0
22,L1_SingleMu22_EMTF,0,0,0,0,0
23,L1_SingleMu25,1,7336.86,301.835,0,1827.85
24,L1_SingleMu30,1,5347.79,257.693,0,1215.79
25,L1_SingleMu14er2p1,0,0,0,0,0
26,L1_SingleMu16er2p1,0,0,0,0,0
27,L1_SingleMu18er2p1,0,0,0,0,0
28,L1_SingleMu20er2p1,0,0,0,0,0
29,L1_SingleMu22er2p1,1,7774.1,310.699,0,2080.92
30,L1_DoubleMu0,0,0,0,0,0
31,L1_DoubleMu_11_4,0,0,0,0,0
32,L1_DoubleMu_12_5,0,0,0,0,0
33,L1_DoubleMu_12_8,0,0,0,0,0
34,L1_DoubleMu_13_6,0,0,0,0,0
35,L1_DoubleMu_15_5,0,0,0,0,0
36,L1_DoubleMu_15_7,1,773.366,97.9958,17.1859,126.934
37,L1_DoubleMu18er2p1,1,52.153,25.4481,0,7.31246
38,L1_DoubleMu22er2p1,1,17.3843,14.6924,0,1.93159
39,L1_TripleMu0,0,0,0,0,0
40,L1_TripleMu3,0,0,0,0,0
41,L1_TripleMu_4_4_4,1,689.628,92.5385,0,148.987
42,L1_TripleMu_5_0_0,0,0,0,0,0
43,L1_TripleMu_5_3_3,1,2149.56,163.376,347.403,797.701
44,L1_TripleMu_5_5_3,1,879.911,104.528,0,188.449
45,L1_QuadMu0,0,0,0,0,0
50,L1_SingleEG5,185000,66.073,28.6436,66.073,66.073
51,L1_SingleEG10,31000,67.1004,28.8654,67.1004,67.1004
52,L1_SingleEG15,7300,67.8915,29.0351,67.8915,67.8915
53,L1_SingleEG18,0,0,0,0,0
54,L1_SingleEG24,0,0,0,0,0
55,L1_SingleEG26,660,70.0867,29.5007,0,16.9244
56,L1_SingleEG28,0,0,0,0,0
57,L1_SingleEG30,0,0,0,0,0
58,L1_SingleEG32,0,0,0,0,0
59,L1_SingleEG34,0,0,0,0,0
60,L1_SingleEG36,0,0,0,0,0
61,L1_SingleEG38,1,13669.1,411.989,385.54,1870.07
62,L1_SingleEG40,1,11465.3,377.318,0,1086.18
63,L1_SingleEG42,1,9697.97,347.021,0,702.06
64,L1_SingleEG45,1,7508.63,305.348,0,386.637
65,L1_SingleEG50,1,5395.6,258.842,0,209.227
66,L1_SingleEG34er2p1,0,0,0,0,0
67,L1_SingleEG36er2p1,0,0,0,0,0
68,L1_SingleEG38er2p1,1,9904.15,350.69,0,863.631
69,L1_SingleIsoEG18,0,0,0,0,0
70,L1_SingleIsoEG20,0,0,0,0,0
71,L1_SingleIsoEG22,0,0,0,0,0
72,L1_SingleIsoEG24,0,0,0,0,0
73,L1_SingleIsoEG26,0,0,0,0,0
74,L1_SingleIsoEG28,0,0,0,0,0
75,L1_SingleIsoEG30,0,0,0,0,0
76,L1_SingleIsoEG32,1,13115.2,403.555,243.842,1177.68
77,L1_SingleIsoEG34,1,11891.4,384.265,0,739.759
78,L1_SingleIsoEG35,1,11450.6,377.075,0,643.488
79,L1_SingleIsoEG36,1,11066,370.69,0,583.252
80,L1_SingleIsoEG37,1,10452.6,360.269,0,518.937
81,L1_SingleIsoEG38,1,10124.5,354.569,0,489.602
82,L1_SingleIsoEG40,1,9168.99,337.424,0,419.173
83,L1_SingleIsoEG18er2p1,0,0,0,0,0
84,L1_SingleIsoEG20er2p1,0,0,0,0,0
85,L1_SingleIsoEG22er2p1,0,0,0,0,0
86,L1_SingleIsoEG24er2p1,0,0,0,0,0
87,L1_SingleIsoEG26er2p1,200,69.2143,29.3165,17.3036,20.3186
88,L1_SingleIsoEG28er2p1,170,69.6228,29.4029,17.4057,26.6664
89,L1_SingleIsoEG30er2p1,1,11761.1,382.154,630.998,1386.5
90,L1_SingleIsoEG32er2p1,1,10677.9,364.13,0,647.035
91,L1_SingleIsoEG33er2p1,1,10103.5,354.202,0,542.96
92,L1_SingleIsoEG34er2p1,1,9703.17,347.114,0,466.26
93,L1_SingleIsoEG35er2p1,1,9327.69,340.331,0,417.267
94,L1_SingleIsoEG36er2p1,1,9058.17,335.378,0,388.528
95,L1_SingleIsoEG38er2p1,1,8181.56,318.737,0,321.048
96,L1_SingleIsoEG40er2p1,1,7388.09,302.887,0,276.222
97,L1_IsoEG33_Mt40,1,0,0,0,0
98,L1_IsoEG33_Mt44,1,0,0,0,0
99,L1_IsoEG33_Mt48,1,0,0,0,0
100,L1_DoubleEG_15_10,0,0,0,0,0
101,L1_DoubleEG_18_17,0,0,0,0,0
102,L1_DoubleEG_20_18,0,0,0,0,0
103,L1_DoubleEG_22_10,0,0,0,0,0
104,L1_DoubleEG_22_12,0,0,0,0,0
105,L1_DoubleEG_22_15,0,0,0,0,0
106,L1_DoubleEG_23_10,0,0,0,0,0
107,L1_DoubleEG_24_17,1,2959.4,191.698,73.5255,474.882
108,L1_DoubleEG_25_12,1,6144.88,276.23,209.918,1293.76
109,L1_DoubleEG_25_13,1,5360.48,257.998,0,916.577
110,L1_DoubleEG_25_14,1,4666.17,240.711,0,722.611
111,L1_DoubleLooseIsoEG22er2p1,1,264.242,57.2817,0,7.08039
112,L1_DoubleLooseIsoEG24er2p1,1,245.367,55.198,0,6.52526
113,L1_TripleEG_14_10_8,0,0,0,0,0
114,L1_TripleEG_18_17_8,1,1516.89,137.243,462.779,620.119
115,L1_SingleTau20,0,0,0,0,0
116,L1_SingleTau80er2p1,0,0,0,0,0
117,L1_SingleTau100er2p1,0,0,0,0,0
118,L1_SingleTau120er2p1,1,2573.68,178.769,0,123.798
119,L1_SingleTau130er2p1,1,2041.42,159.214,0,67.2047
120,L1_SingleTau140er2p1,1,1701.18,145.342,0,46.7529
121,L1_DoubleTau50er2p1,0,0,0,0,0
122,L1_DoubleTau70er2p1,1,2712.4,183.524,0,176.791
123,L1_DoubleIsoTau28er2p1,0,0,0,0,0
124,L1_DoubleIsoTau30er2p1,0,0,0,0,0
125,L1_DoubleIsoTau32er2p1,1,11350.5,375.424,419.767,2071.26
126,L1_DoubleIsoTau33er2p1,1,10747.4,365.314,0,1619.54
127,L1_DoubleIsoTau34er2p1,1,9767.62,348.265,0,1233.16
128,L1_DoubleIsoTau35er2p1,1,9191.99,337.847,0,1062.51
129,L1_DoubleIsoTau36er2p1,1,8605.98,326.9,0,942.117
130,L1_DoubleIsoTau38er2p1,1,7834.23,311.898,0,820.756
131,L1_SingleJet16,0,0,0,0,0
132,L1_SingleJet20,0,0,0,0,0
133,L1_SingleJet35,107000,69.4429,29.3649,69.4429,69.4429
134,L1_SingleJet60,9200,65.2441,28.4633,43.4961,54.3701
135,L1_SingleJet90,1100,71.8193,29.8631,35.9096,39.5433
136,L1_SingleJet120,300,70.7009,29.6297,17.6752,24.9417
137,L1_SingleJet140,0,0,0,0,0
138,L1_SingleJet150,0,0,0,0,0
139,L1_SingleJet160,0,0,0,0,0
140,L1_SingleJet170,1,4460.02,235.333,35.2571,387.812
141,L1_SingleJet180,1,3641.15,212.635,0,225.132
142,L1_SingleJet200,1,2423.92,173.49,0,100.883
143,L1_SingleJet35_FWD,20800,67.0538,28.8554,67.0538,67.0538
144,L1_SingleJet60_FWD,1200,59.6034,27.2051,39.7356,49.6695
145,L1_SingleJet90_FWD,120,72.0208,29.905,54.0156,58.5169
146,L1_SingleJet120_FWD,30,70.5307,29.594,17.6327,28.8
147,L1_SingleJet35_HFp,0,0,0,0,0
148,L1_SingleJet35_HFm,0,0,0,0,0
149,L1_SingleJet60_HFp,0,0,0,0,0
150,L1_SingleJet60_HFm,0,0,0,0,0
151,L1_DoubleJet40er3p0,13000,59.7821,27.2459,59.7821,59.7821
152,L1_DoubleJet50er3p0,0,0,0,0,0
153,L1_DoubleJet60er3p0,0,0,0,0,0
154,L1_DoubleJet80er3p0,0,0,0,0,0
155,L1_DoubleJet100er3p0,140,69.9658,29.4753,0,7.5977
156,L1_DoubleJet112er3p0,85,69.8094,29.4423,17.4523,21.3822
157,L1_DoubleJet120er3p0,1,4835.43,245.037,349.129,903.765
158,L1_TripleJet_84_68_48_VBF,0,0,0,0,0
159,L1_TripleJet_88_72_56_VBF,0,0,0,0,0
160,L1_TripleJet_92_76_64_VBF,1,4965.76,248.318,623.08,1183.74
161,L1_QuadJet40er3p0,0,0,0,0,0
162,L1_QuadJet50er3p0,0,0,0,0,0
163,L1_QuadJet60er3p0,1,1325.38,128.288,116.261,252.494
165,L1_HTT120er,5900,53.3806,25.7458,53.3806,53.3806
166,L1_HTT160er,2100,51.7861,25.3584,25.8931,27.8848
167,L1_HTT200er,850,73.9894,30.311,49.3263,50.0517
168,L1_HTT220er,0,0,0,0,0
169,L1_HTT240er,0,0,0,0,0
170,L1_HTT255er,310,69.1877,29.3109,23.0626,26.4258
171,L1_HTT270er,0,0,0,0,0
172,L1_HTT280er,0,0,0,0,0
173,L1_HTT300er,1,11547.2,378.664,267.503,1794.93
174,L1_HTT320er,1,8343.57,321.878,0,842.447
175,L1_HTT340er,1,5634.64,264.514,0,425.228
176,L1_HTT380er,1,3526.09,209.248,0,184.674
177,L1_HTT400er,1,2807.98,186.729,0,117.892
178,L1_HTT450er,1,1633.18,142.407,0,44.7352
179,L1_HTT500er,1,1267.06,125.434,0,30.5044
180,L1_ETM30,0,0,0,0,0
181,L1_ETM40,0,0,0,0,0
182,L1_ETM50,0,0,0,0,0
183,L1_ETM60,0,0,0,0,0
184,L1_ETM70,0,0,0,0,0
185,L1_ETM75,0,0,0,0,0
186,L1_ETM80,0,0,0,0,0
187,L1_ETM85,0,0,0,0,0
188,L1_ETM90,0,0,0,0,0
189,L1_ETM95,0,0,0,0,0
190,L1_ETM100,0,0,0,0,0
191,L1_ETM105,1,3761.72,216.127,224.208,724.966
192,L1_ETM110,1,2782.86,185.892,0,336.077
193,L1_ETM115,1,2047.06,159.434,0,171.935
194,L1_ETM120,1,1630.73,142.3,0,101.518
