seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_SingleMuCosmics,3539.115,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuOpen,3538.900,63000,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleMuCosmics_BMTF,226.993,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuCosmics_OMTF,273.457,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMuCosmics_EMTF,3125.214,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_BMTF,226.993,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_OMTF,146.743,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu0_EMTF,1823.883,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu3,1260.493,22000,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleMu5,379.389,1700,0.215,0.076,0.215,0.076,0.215,1.000
L1_SingleMu7,151.266,670,0.215,0.076,0.188,0.071,0.197,1.000
L1_SingleMu10_LowQ,68.109,1300,0.027,0.027,0.027,0.027,0.027,1.000
L1_SingleMu11_LowQ,52.872,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_BMTF,7.242,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_OMTF,8.749,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu12_LowQ_EMTF,29.370,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu16,15.075,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu18,11.576,210,0.054,0.038,0.000,0.000,0.016,1.000
L1_SingleMu20,9.341,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22,7.672,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_BMTF,1.642,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_OMTF,2.019,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22_EMTF,4.011,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu25,6.326,1,6.326,0.413,1.023,0.166,3.167,1.000
L1_SingleMu30,4.630,1,4.630,0.353,0.000,0.000,1.926,1.000
L1_SingleMu14er2p1,17.310,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu16er2p1,12.222,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu18er2p1,9.368,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu20er2p1,7.511,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleMu22er2p1,6.111,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu0,295.074,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_11_4,3.500,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_12_5,1.642,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_12_8,0.511,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_13_6,0.781,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_15_5,0.888,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_DoubleMu_15_7,0.350,1,0.350,0.097,0.027,0.027,0.088,1.000
L1_DoubleMu18er2p1,0.027,1,0.027,0.027,0.000,0.000,0.001,1.000
L1_DoubleMu22er2p1,0.027,1,0.027,0.027,0.000,0.000,0.001,1.000
L1_TripleMu0,20.783,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleMu3,2.961,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleMu_4_4_4,0.511,1,0.511,0.117,0.027,0.027,0.104,1.000
L1_TripleMu_5_0_0,7.645,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_TripleMu_5_3_3,1.965,1,1.965,0.230,0.269,0.085,0.759,1.000
L1_TripleMu_5_5_3,0.700,1,0.700,0.137,0.000,0.000,0.173,1.000
L1_QuadMu0,1.454,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleEG5,12410.162,220000,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleEG10,2073.892,38000,0.054,0.038,0.054,0.038,0.054,1.000
L1_SingleEG15,482.629,2700,0.162,0.066,0.162,0.066,0.162,1.000
L1_SingleEG18,163.703,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleEG24,51.849,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleEG26,39.869,780,0.027,0.027,0.000,0.000,0.003,1.000
L1_SingleEG28,31.631,0,0.000,0.000,0.000,0.000,0.000,1.000
L1_SingleEG30,24.982,0,0.000,0.000,0.000,0.000,0.000,1.000
