L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,110000,27.6751,27.6751,27.6751,27.6751
2,L1_SingleMu3,36000,27.6751,27.6751,27.6751,27.6751
3,L1_SingleMu5,12000,27.6751,27.6751,27.6751,27.6751
4,L1_SingleMu7,4500,27.6751,27.6751,27.6751,27.6751
5,L1_SingleMu10_LowQ,2200,27.6751,27.6751,27.6751,27.6751
6,L1_SingleMu11_LowQ,1700,27.6751,27.6751,27.6751,27.6751
7,L1_SingleMu16,500,27.6751,27.6751,0,6.91878
8,L1_SingleMu18,400,27.6751,27.6751,27.6751,27.6751
9,L1_SingleMu20,300,27.6751,27.6751,0,6.91878
10,L1_SingleMu22,240,27.6751,27.6751,0,5.53502
11,L1_SingleMu25,1,6697.37,430.524,166.051,2310.51
12,L1_SingleMu30,1,4787.79,364.009,0,1454.45
13,L1_SingleMu14er2p1,600,27.6751,27.6751,27.6751,27.6751
14,L1_SingleMu16er2p1,400,27.6751,27.6751,0,5.53502
15,L1_SingleMu18er2p1,300,27.6751,27.6751,0,1.97679
16,L1_SingleMu20er2p1,250,27.6751,27.6751,0,5.53502
17,L1_SingleMu22er2p1,1,6863.43,435.828,747.228,2640.1
20,L1_DoubleMu0,9000,27.6751,27.6751,27.6751,27.6751
21,L1_DoubleMu_11_4,130,27.6751,27.6751,27.6751,27.6751
22,L1_DoubleMu_12_5,70,27.6751,27.6751,0,6.91878
23,L1_DoubleMu_12_8,1,1300.73,189.731,55.3502,281.936
24,L1_DoubleMu_13_6,40,27.6751,27.6751,0,1.45658
25,L1_DoubleMu_15_5,1,2020.28,236.456,221.401,579.675
26,L1_DoubleMu_15_7,1,1273.05,187.702,0,229.695
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,100,0,0,0,0
29,L1_TripleMu_4_4_4,1,664.202,135.58,27.6751,147.911
30,L1_TripleMu_5_0_0,260,0,0,0,0
31,L1_TripleMu_5_3_3,1,1743.53,219.664,221.401,654.299
32,L1_TripleMu_5_5_3,1,857.928,154.088,0,188.435
33,L1_QuadMu0,1,1023.98,168.341,553.502,699.731
40,L1_SingleEG5,300000,27.6751,27.6751,27.6751,27.6751
41,L1_SingleEG10,52000,27.6751,27.6751,27.6751,27.6751
42,L1_SingleEG15,13000,27.6751,27.6751,27.6751,27.6751
43,L1_SingleEG18,4500,27.6751,27.6751,27.6751,27.6751
44,L1_SingleEG24,1500,27.6751,27.6751,0,2.76751
45,L1_SingleEG26,1200,27.6751,27.6751,0,13.8376
46,L1_SingleEG28,900,27.6751,27.6751,0,1.97679
47,L1_SingleEG30,750,27.6751,27.6751,0,1.38376
48,L1_SingleEG32,600,27.6751,27.6751,0,1.97679
49,L1_SingleEG34,500,27.6751,27.6751,0,1.20327
50,L1_SingleEG36,420,27.6751,27.6751,0,2.12885
51,L1_SingleEG38,1,13367.1,608.223,276.751,1964.63
52,L1_SingleEG40,1,11623.5,567.171,0,1308.73
53,L1_SingleEG45,1,8357.88,480.942,0,696.713
54,L1_SingleEG34er2p1,410,27.6751,27.6751,0,9.22503
55,L1_SingleEG36er2p1,350,27.6751,27.6751,0,9.22503
56,L1_SingleEG38er2p1,1,11097.7,554.193,0,1183.43
57,L1_SingleIsoEG18,800,27.6751,27.6751,0,13.8376
58,L1_SingleIsoEG20,700,27.6751,27.6751,0,1.38376
59,L1_SingleIsoEG22,600,27.6751,27.6751,0,3.95359
60,L1_SingleIsoEG24,540,27.6751,27.6751,0,1.38376
61,L1_SingleIsoEG26,500,27.6751,27.6751,0,2.30626
62,L1_SingleIsoEG28,450,27.6751,27.6751,0,1.72969
63,L1_SingleIsoEG30,420,27.6751,27.6751,0,2.76751
64,L1_SingleIsoEG32,380,27.6751,27.6751,0,2.30626
65,L1_SingleIsoEG34,1,12619.8,590.978,83.0253,1298.27
66,L1_SingleIsoEG36,1,11789.6,571.208,0,1046.71
67,L1_SingleIsoEG38,1,11070,553.502,0,910.447
68,L1_SingleIsoEG18er2p1,710,27.6751,27.6751,27.6751,27.6751
69,L1_SingleIsoEG20er2p1,610,27.6751,27.6751,27.6751,27.6751
70,L1_SingleIsoEG22er2p1,540,27.6751,27.6751,0,6.91878
71,L1_SingleIsoEG24er2p1,500,27.6751,27.6751,27.6751,27.6751
72,L1_SingleIsoEG26er2p1,460,27.6751,27.6751,0,13.8376
73,L1_SingleIsoEG28er2p1,410,27.6751,27.6751,0,3.45939
74,L1_SingleIsoEG30er2p1,380,27.6751,27.6751,0,1.72969
75,L1_SingleIsoEG32er2p1,1,12370.8,585.117,553.502,1717.29
76,L1_SingleIsoEG34er2p1,1,11291.4,559.01,0,1009.93
77,L1_SingleIsoEG36er2p1,1,10571.9,540.905,0,855.229
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,300,27.6751,27.6751,0,5.53502
84,L1_DoubleEG_22_12,190,27.6751,27.6751,0,1.72969
85,L1_DoubleEG_22_15,110,27.6751,27.6751,0,1.20327
86,L1_DoubleEG_23_10,270,27.6751,27.6751,0,1.84501
87,L1_DoubleEG_24_17,1,1992.61,234.831,55.3502,472.759
88,L1_DoubleEG_25_12,140,27.6751,27.6751,0,4.61252
89,L1_DoubleEG_25_13,120,27.6751,27.6751,27.6751,27.6751
90,L1_DoubleEG_25_14,1,3321.01,303.166,691.878,1195.68
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,1,913.278,158.981,276.751,396.326
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,270,27.6751,27.6751,27.6751,27.6751
102,L1_SingleTau100er2p1,140,27.6751,27.6751,0,1.06443
103,L1_SingleTau120er2p1,1,2629.13,269.744,0,152.793
104,L1_DoubleTau50er2p1,210,27.6751,27.6751,0,1.97679
105,L1_DoubleTau70er2p1,1,2573.78,266.889,0,210.174
106,L1_DoubleIsoTau28er2p1,390,27.6751,27.6751,0,6.91878
107,L1_DoubleIsoTau30er2p1,320,27.6751,27.6751,0,1.15313
108,L1_DoubleIsoTau32er2p1,1,10156.8,530.179,498.152,2034.72
109,L1_DoubleIsoTau33er2p1,1,9575.59,514.787,0,1523.8
