seed,rate,error,chi2
L1_SingleMuOpen,5061.4,376.2,528.023
L1_SingleMu3,1696.9,120.1,703.165
L1_SingleMu5,528.6,39.6,524.556
L1_SingleMu7,212.3,13.3,551.427
L1_SingleMu10_LowQ,101.2,6.6,475.055
L1_SingleMu11_LowQ,78.5,5.0,640.622
L1_SingleMu16,23.2,1.8,1835.39
L1_SingleMu18,17.1,1.3,711.589
L1_SingleMu20,13.6,1.1,564.03
L1_SingleMu22,11.1,0.9,438.977
L1_SingleMu25,9.2,0.7,516.441
L1_SingleMu30,6.8,0.0,839.943
L1_SingleMu14er2p1,26.3,2.0,700.002
L1_SingleMu16er2p1,18.9,1.4,623.904
L1_SingleMu18er2p1,14.3,1.2,482.28
L1_SingleMu20er2p1,11.3,0.9,414.021
L1_SingleMu22er2p1,9.2,0.7,347.201
L1_DoubleMu0,426.0,29.0,861.019
L1_DoubleMu_11_4,5.7,0.5,394.51
L1_DoubleMu_12_5,3.1,0.3,364.907
L1_DoubleMu_12_8,1.1,0.2,153.124
L1_DoubleMu_13_6,1.8,0.2,348.871
L1_DoubleMu_15_5,1.9,0.2,273.584
L1_DoubleMu_15_7,1.0,0.1,147.528
L1_TripleMu0,31.2,2.1,791.521
L1_TripleMu3,4.6,0.4,512.279
L1_TripleMu_4_4_4,1.2,0.1,864.2
L1_TripleMu_5_0_0,11.8,0.9,457.607
L1_TripleMu_5_3_3,3.1,0.3,363.476
L1_TripleMu_5_5_3,1.3,0.1,280.713
L1_QuadMu0,2.0,0.2,901.914
L1_SingleEG5,14510.7,404.1,913.293
L1_SingleEG10,2524.5,78.4,883.475
L1_SingleEG15,608.2,17.9,937.8
L1_SingleEG18,205.5,6.6,767.933
L1_SingleEG24,70.9,2.0,1120.11
L1_SingleEG26,55.0,2.0,694.371
L1_SingleEG28,43.5,1.6,630.876
L1_SingleEG30,35.3,1.4,598.252
L1_SingleEG32,28.6,1.1,630.873
L1_SingleEG34,23.9,0.9,690.538
L1_SingleEG36,20.1,0.8,569.181
L1_SingleEG38,17.3,0.7,559.217
L1_SingleEG40,14.9,0.6,542.757
L1_SingleEG45,10.7,0.5,483.863
L1_SingleEG34er2p1,19.7,0.7,712.78
L1_SingleEG36er2p1,16.7,0.7,600.971
L1_SingleEG38er2p1,14.5,0.6,556.884
L1_SingleIsoEG18,36.9,1.5,534.299
L1_SingleIsoEG20,31.5,1.3,602.036
L1_SingleIsoEG22,28.0,1.0,657.682
L1_SingleIsoEG24,25.7,1.1,595.617
L1_SingleIsoEG26,23.8,1.0,571.171
L1_SingleIsoEG28,21.5,0.9,676.589
L1_SingleIsoEG30,19.7,1.0,645.854
L1_SingleIsoEG32,18.1,0.7,602.229
L1_SingleIsoEG34,16.5,1.0,671.762
L1_SingleIsoEG36,15.2,0.7,502.758
L1_SingleIsoEG38,14.1,0.6,473.732
L1_SingleIsoEG18er2p1,34.3,1.2,604.174
L1_SingleIsoEG20er2p1,29.1,1.2,725.978
L1_SingleIsoEG22er2p1,25.9,1.0,673.597
L1_SingleIsoEG24er2p1,23.7,1.0,611.381
L1_SingleIsoEG26er2p1,22.0,0.9,584.618
L1_SingleIsoEG28er2p1,19.8,0.8,650.91
L1_SingleIsoEG30er2p1,18.1,0.7,699.27
L1_SingleIsoEG32er2p1,16.6,0.7,676.337
L1_SingleIsoEG34er2p1,15.1,0.7,740.401
L1_SingleIsoEG36er2p1,13.9,0.8,574.121
L1_DoubleEG_15_10,63.4,2.4,799.243
L1_DoubleEG_18_17,4.3,0.3,879.476
L1_DoubleEG_20_18,2.8,0.2,278.688
L1_DoubleEG_22_10,14.4,0.7,1013.98
L1_DoubleEG_22_12,9.0,0.5,1197.9
L1_DoubleEG_22_15,5.0,0.3,327.365
L1_DoubleEG_23_10,13.0,0.5,2286.68
L1_DoubleEG_24_17,2.7,0.2,904.183
L1_DoubleEG_25_12,6.3,0.4,333.168
L1_DoubleEG_25_13,5.4,0.4,386.117
L1_DoubleEG_25_14,4.6,0.3,347.7
L1_TripleEG_14_10_8,13.8,0.6,650.517
L1_TripleEG_18_17_8,1.1,0.1,457.862
L1_SingleTau80er2p1,12.8,0.6,579.633
L1_SingleTau100er2p1,6.4,0.4,815.331
