seed,rate,error,chi2
L1_SingleMuOpen,4903.3,74.5,274.073
L1_SingleMu3,1652.6,23.3,705.042
L1_SingleMu5,511.5,6.5,439.401
L1_SingleMu7,205.3,2.8,409.59
L1_SingleMu10_LowQ,96.7,1.4,240.659
L1_SingleMu11_LowQ,74.6,0.9,270.992
L1_SingleMu16,21.3,0.4,474.952
L1_SingleMu18,16.2,0.3,486.612
L1_SingleMu20,12.9,0.3,459.639
L1_SingleMu22,10.5,0.2,459.981
L1_SingleMu25,8.7,0.2,449.346
L1_SingleMu30,6.3,0.1,426.02
L1_SingleMu14er2p1,24.9,0.5,294.428
L1_SingleMu16er2p1,17.9,0.3,295.244
L1_SingleMu18er2p1,13.6,0.3,308.529
L1_SingleMu20er2p1,10.7,0.2,319.681
L1_SingleMu22er2p1,8.7,0.2,337.833
L1_DoubleMu0,420.0,3.0,556.382
L1_DoubleMu_11_4,5.4,0.1,188.541
L1_DoubleMu_12_5,2.9,0.1,153.107
L1_DoubleMu_12_8,1.1,0.0,122.409
L1_DoubleMu_13_6,1.7,0.0,168.296
L1_DoubleMu_15_5,1.8,0.1,140.924
L1_DoubleMu_15_7,0.9,0.0,127.003
L1_TripleMu0,31.3,2.7,633.875
L1_TripleMu3,4.5,0.0,231.668
L1_TripleMu_4_4_4,1.1,0.0,114.795
L1_TripleMu_5_0_0,11.8,0.1,410.529
L1_TripleMu_5_3_3,3.0,0.2,201.89
L1_TripleMu_5_5_3,1.3,0.0,132.822
L1_QuadMu0,2.0,0.0,445.041
L1_SingleEG5,15634.9,143.2,439.07
L1_SingleEG10,2691.6,25.8,758.629
L1_SingleEG15,649.9,6.9,745.888
L1_SingleEG18,227.7,2.3,1361.69
L1_SingleEG24,78.8,0.8,1666.44
L1_SingleEG26,61.7,0.6,1821.4
L1_SingleEG28,48.9,0.5,1938.04
L1_SingleEG30,39.9,0.4,2038.32
L1_SingleEG32,32.5,0.2,2240.53
L1_SingleEG34,26.9,0.2,1802.62
L1_SingleEG36,22.4,0.2,1434.79
L1_SingleEG38,19.0,0.2,1127.69
L1_SingleEG40,16.5,0.2,1295.21
L1_SingleEG45,11.6,0.1,914.377
L1_SingleEG34er2p1,20.3,0.2,853.401
L1_SingleEG36er2p1,17.1,0.2,725.159
L1_SingleEG38er2p1,14.9,0.2,801.686
L1_SingleIsoEG18,38.6,0.4,1616.71
L1_SingleIsoEG20,33.3,0.4,1478.63
L1_SingleIsoEG22,29.9,0.3,1448.04
L1_SingleIsoEG24,27.6,0.3,1439.1
L1_SingleIsoEG26,25.8,0.3,1648.53
L1_SingleIsoEG28,23.3,0.3,1613.73
L1_SingleIsoEG30,21.3,0.3,1264.99
L1_SingleIsoEG32,19.5,0.2,1222.76
L1_SingleIsoEG34,17.8,0.2,1134.92
L1_SingleIsoEG36,16.4,0.2,1155.88
L1_SingleIsoEG38,15.2,0.2,1193.21
L1_SingleIsoEG18er2p1,34.5,0.4,1006.6
L1_SingleIsoEG20er2p1,29.5,0.4,896.381
L1_SingleIsoEG22er2p1,26.5,0.3,874.658
L1_SingleIsoEG24er2p1,24.5,0.3,897.551
L1_SingleIsoEG26er2p1,22.8,0.3,844.289
L1_SingleIsoEG28er2p1,20.5,0.2,1009.93
L1_SingleIsoEG30er2p1,18.9,0.2,1276.39
L1_SingleIsoEG32er2p1,17.1,0.2,1072.61
L1_SingleIsoEG34er2p1,15.6,0.2,1043.89
L1_SingleIsoEG36er2p1,14.4,0.1,1076.54
L1_DoubleEG_15_10,81.7,0.4,251.437
L1_DoubleEG_18_17,5.5,0.0,231.091
L1_DoubleEG_20_18,3.7,0.0,191.139
L1_DoubleEG_22_10,18.9,0.1,261.599
L1_DoubleEG_22_12,11.5,1.0,257.554
L1_DoubleEG_22_15,6.6,0.0,352.493
L1_DoubleEG_23_10,16.8,0.1,279.197
L1_DoubleEG_24_17,3.4,0.0,224.681
L1_DoubleEG_25_12,8.3,0.0,226.875
L1_DoubleEG_25_13,7.1,0.0,241.149
L1_DoubleEG_25_14,6.0,0.0,266.782
L1_TripleEG_14_10_8,20.1,0.1,387.02
L1_TripleEG_18_17_8,1.6,0.0,218.843
L1_SingleTau80er2p1,12.6,0.2,196.955
L1_SingleTau100er2p1,6.2,0.1,214.611
L1_SingleTau120er2p1,3.6,0.1,224.79
L1_DoubleTau50er2p1,9.6,0.1,159.879
L1_DoubleTau70er2p1,3.1,0.1,122.939
L1_DoubleIsoTau28er2p1,18.3,0.2,144.1
L1_DoubleIsoTau30er2p1,15.1,0.2,132.912
L1_DoubleIsoTau32er2p1,12.5,0.2,128.671
L1_DoubleIsoTau33er2p1,11.9,0.2,136.209
L1_DoubleIsoTau34er2p1,11.0,0.2,135.166
L1_DoubleIsoTau35er2p1,10.4,0.1,133.334
